	levofloxacin	imipenem	amikacin	ciprofloxacin	ceftazidime	cefepime	meropenem
287.7772	1	1	0	1	0	0	1
287.7773	1	1	0	1	1	1	1
287.7775	1	1	0	2	1	1	1
287.7776	1	1	0	1	0	1	1
287.7777	1	1	0	1	1	1	1
287.7778	1	1	0	1	1	1	1
287.7779	1	1	0	1	1	1	1
287.7780	1	1	0	1	1	1	1
287.7781	1	1	1	1	1	1	1
287.7782	1	1	0	1	2	1	1
287.7783	1	1	0	1	1	1	1
287.7785	1	1	1	1	1	1	1
287.7786	1	0	0	1	2	1	2
287.7787	1	1	0	1	0	1	1
287.7791	1	1	1	1	1	1	1
287.7793	1	0	0	0	0	0	1
287.7794	1	1	0	1	1	1	1
287.7795	1	1	0	1	0	1	1
287.7798	1	2	0	1	0	0	0
287.7800	1	0	0	1	2	1	2
287.7805	1	0	0	1	1	1	0
287.7806	1	2	0	1	1	1	1
287.7808	1	1	0	1	0	0	1
287.7811	1	1	0	1	0	1	1
287.7812	1	1	2	1	1	1	0
287.7814	1	0	0	1	0	0	0
287.7815	1	1	0	1	0	0	2
287.7816	1	0	0	1	0	0	0
287.7823	1	2	0	1	0	1	0
287.7824	1	2	0	1	1	1	0
287.7830	1	1	0	1	1	1	1
287.7831	1	1	0	1	1	1	2
287.7832	1	0	0	1	1	1	1
287.7833	1	0	0	1	0	0	0
287.7838	1	1	0	1	0	0	1
287.7840	1	1	2	1	0	1	2
287.7842	1	1	0	1	2	1	1
287.7846	1	1	0	1	0	0	0
287.7848	1	1	0	1	1	1	1
287.7850	1	1	0	2	0	0	1
287.7851	1	1	2	1	1	1	1
287.7856	1	0	0	1	0	1	0
287.7859	1	1	0	1	1	1	1
287.7860	1	1	0	1	0	0	1
287.8028	1	0	2	1	1	1	0
287.8031	1	1	0	1	2	1	1
287.8032	1	0	0	1	0	0	0
287.8033	1	1	0	1	1	1	1
287.8487	1	2	0	1	1	1	1
287.8488	1	2	2	2	1	1	1
287.8493	1	2	0	1	0	0	1
287.8494	1	2	1	1	0	1	1
287.8496	1	2	0	1	1	2	1
287.8499	1	2	0	1	0	0	1
287.8500	1	2	1	1	1	1	1
287.8502	1	2	0	1	1	1	1
287.8503	1	2	0	1	1	1	1
287.8506	1	2	1	1	0	1	1
287.8507	1	2	0	1	0	0	0
287.8508	1	2	1	0	1	1	1
287.8509	1	2	1	1	1	1	1
287.8510	1	1	0	1	1	1	1
287.8511	1	1	0	1	1	1	1
287.8512	1	1	0	1	0	0	2
287.8514	1	1	0	1	0	0	0
287.8515	1	1	1	1	1	1	1
287.8516	1	1	0	1	0	0	0
287.8519	1	1	1	1	1	1	1
287.8520	1	1	2	1	1	1	1
287.8521	1	1	2	1	1	1	2
287.8522	1	1	2	1	2	1	1
287.8523	1	1	0	1	0	2	1
287.8524	1	1	1	1	1	1	1
287.8525	1	1	1	1	1	1	1
287.8527	1	1	1	1	1	1	2
287.8528	1	1	1	1	1	1	1
287.8529	1	1	1	1	1	1	1
287.8530	1	0	0	1	0	2	0
287.8531	1	0	0	1	1	1	2
287.8533	1	1	1	1	1	1	1
287.8534	1	1	1	1	1	1	1
287.8536	1	0	0	1	0	0	2
287.8538	1	0	1	1	0	0	1
287.853	1	2	1	2	2	2	1
287.8540	1	0	0	1	0	0	0
287.8543	1	1	0	1	0	0	0
287.8544	1	1	0	1	2	0	1
287.8545	1	1	0	1	2	2	1
287.8546	1	1	0	1	0	2	2
287.8547	1	1	0	1	1	1	1
287.8548	1	1	0	1	0	0	2
287.8549	1	1	0	1	0	0	0
287.854	1	2	0	2	2	2	1
287.8550	1	1	0	1	0	0	1
287.8551	1	1	0	1	0	0	0
287.855	1	2	1	2	2	2	0
287.858	1	2	0	2	2	2	0
287.861	1	2	0	2	2	2	0
287.864	1	2	0	2	2	2	1
287.867	1	2	0	2	2	2	1
287.871	1	2	1	2	2	2	1
