	levofloxacin	imipenem	amikacin	ciprofloxacin	ceftazidime	cefepime	meropenem
287.1246	2	2	1	2	2	2	1
287.1249	2	2	1	2	2	2	1
287.8492	2	2	1	0	1	1	1
287.915	2	2	1	2	2	2	1
287.977	2	2	1	2	2	2	1
208964.400	2	2	0	2	2	2	2
287.1002	2	2	0	2	2	2	1
287.1055	2	2	0	2	2	2	0
287.1071	2	2	0	2	2	2	0
287.1094	2	2	0	2	2	2	2
287.1105	2	2	0	2	2	2	0
287.1156	2	2	0	2	2	2	0
287.1196	2	2	0	2	2	2	1
287.1230	2	2	0	2	2	2	0
287.1233	2	2	0	2	2	2	0
287.862	2	2	0	2	2	2	1
287.895	2	2	0	2	2	2	1
287.898	2	2	0	2	2	2	1
287.902	2	2	0	2	2	2	0
287.921	2	2	0	2	2	2	0
287.3111	2	2	2	2	1	2	2
287.4055	2	2	2	2	0	0	0
287.4056	2	2	2	2	0	0	0
287.4057	2	2	2	2	0	0	0
287.4063	2	2	2	2	0	0	0
287.4064	2	2	2	2	0	0	1
287.4065	2	2	2	2	0	0	0
287.4067	2	2	2	2	0	0	1
287.4073	2	2	2	2	0	0	0
287.8491	2	2	2	2	0	0	2
287.994	2	2	2	2	2	2	1
287.1221	2	2	2	2	2	2	0
287.1223	2	2	2	2	2	2	0
