	ciprofloxacin	cefoxitin	tobramycin	ceftazidime	aztreonam	cefepime	amoxicillin	trimethoprim	piperacillin_tazobactam	gentamicin	cefotaxime	cefuroxime	trimethoprim_sulfamethoxazole	ampicillin
562.42768	1	2	2	2	1	2	2	2	2	1	2	2	1	1
562.42769	1	2	2	2	1	2	2	2	0	1	2	2	1	1
562.42770	1	2	2	2	1	0	2	2	0	1	2	2	1	1
562.42771	1	2	2	2	1	0	2	2	0	0	2	2	1	1
562.42773	1	2	2	2	1	1	2	2	0	1	2	2	1	1
562.42774	1	2	2	2	1	0	2	2	0	1	2	2	1	1
562.42775	1	2	2	2	1	0	2	2	0	1	2	2	1	1
562.42776	1	2	2	2	1	0	2	2	0	0	2	2	1	1
562.42777	1	2	2	2	0	0	2	2	0	0	2	2	1	1
562.42779	1	2	2	2	1	1	2	2	0	0	2	2	1	1
562.42780	1	2	2	2	0	0	2	2	0	0	2	2	0	1
562.42781	1	2	2	2	1	1	2	2	0	0	2	2	0	1
562.42782	1	2	2	2	1	1	2	2	0	0	2	2	0	1
562.42783	1	2	2	2	1	2	2	2	0	1	2	2	1	1
562.42784	1	2	2	2	1	2	2	2	0	1	2	2	0	1
562.42786	1	2	2	2	1	2	2	2	0	0	2	2	0	1
562.42787	1	2	2	2	0	0	2	2	0	0	2	2	1	1
562.42788	1	2	2	2	1	2	2	2	0	1	2	2	1	1
562.42789	1	2	2	2	1	1	2	2	0	1	2	2	1	1
562.42790	1	2	2	2	0	0	2	2	0	0	2	2	0	0
562.42791	1	2	2	2	1	2	2	2	0	1	2	2	1	1
562.42792	1	2	2	2	1	2	2	2	0	1	2	2	1	1
562.42794	1	2	2	2	1	0	2	2	0	0	2	2	0	1
562.42797	1	2	2	2	1	2	2	2	0	1	2	2	1	1
562.42799	1	2	2	2	0	0	2	2	0	0	2	2	1	1
562.42800	1	2	2	2	1	2	2	2	0	1	2	2	1	1
562.42801	1	2	2	2	1	2	2	2	0	1	2	2	1	1
562.42802	1	2	2	2	1	1	2	2	0	1	2	2	1	1
562.42803	1	2	2	2	1	2	2	2	0	1	2	2	1	1
562.42804	1	2	2	2	1	2	2	2	0	1	2	2	1	1
562.42805	1	2	2	2	1	2	2	2	0	1	2	2	1	1
562.42806	1	2	2	2	1	1	2	2	0	1	2	2	1	1
562.42807	1	2	2	2	1	1	2	2	0	1	2	2	1	1
562.42808	1	2	2	2	1	2	2	2	0	1	2	2	1	1
562.42809	1	2	2	2	1	0	2	2	0	1	2	2	0	1
562.42810	1	2	2	2	1	1	2	2	0	1	2	2	1	1
562.42812	1	2	2	2	1	2	2	2	0	1	2	2	1	1
562.42813	1	2	2	2	1	2	2	2	0	1	2	2	1	1
562.42814	1	2	2	2	1	2	2	2	0	1	2	2	0	1
562.42816	1	2	2	2	1	0	2	2	0	0	2	2	1	1
562.42817	1	2	2	2	1	2	2	2	0	1	2	2	1	1
562.42818	1	2	2	2	1	0	2	2	0	1	2	2	1	1
562.42819	1	2	2	2	1	0	2	2	0	1	2	2	1	1
562.42820	1	1	0	1	1	1	2	2	1	0	1	2	1	1
562.42821	1	1	2	1	1	0	2	2	1	1	1	2	1	1
562.42822	1	1	1	1	1	1	2	2	1	0	1	2	1	1
562.42823	1	1	1	1	1	1	2	2	1	0	1	2	1	1
562.42824	1	1	1	1	1	1	2	2	1	1	1	2	1	1
562.42825	1	1	0	1	1	0	2	2	1	0	1	2	0	1
562.42826	1	2	1	1	1	1	2	2	1	2	1	2	0	1
562.42827	1	1	1	1	1	1	2	2	1	0	1	2	0	1
562.42828	1	2	1	1	1	2	2	2	1	2	1	2	0	1
562.42829	1	1	0	1	1	1	2	2	1	0	1	2	0	1
562.42830	1	1	1	1	1	1	2	2	2	2	1	2	0	1
562.42831	1	0	2	1	1	0	2	2	1	0	1	2	1	1
562.42832	1	2	2	1	1	0	2	2	1	0	1	2	1	1
562.42833	1	1	0	1	1	1	2	2	1	0	1	2	1	1
562.42834	1	1	1	2	1	1	2	2	1	1	1	2	1	1
562.42837	1	1	0	0	0	0	2	2	0	0	0	2	0	0
562.42839	1	0	0	0	0	0	2	2	0	0	0	2	0	1
562.42840	1	0	2	1	1	1	2	2	1	1	1	2	0	1
562.42841	1	2	1	1	1	1	2	2	2	1	1	2	1	1
562.42843	1	0	1	1	1	1	2	2	1	0	1	2	1	1
562.42848	1	0	0	0	0	0	2	2	0	0	0	2	1	1
562.42849	1	2	2	1	1	1	2	2	0	1	1	2	1	1
562.42850	1	0	2	1	1	1	2	2	0	0	1	2	1	1
562.42852	1	0	0	1	1	1	2	2	0	0	1	2	1	1
562.42853	1	0	1	1	1	2	2	2	1	1	1	2	1	1
562.42854	1	1	1	1	1	1	2	2	2	1	1	2	0	1
562.42855	1	0	0	1	1	1	2	2	0	0	1	2	1	1
562.42858	1	2	0	1	0	0	2	2	0	0	0	2	1	1
562.42859	1	1	0	1	1	0	2	2	0	0	1	2	0	1
562.42861	1	2	1	1	1	1	2	2	0	0	1	2	0	1
562.42862	1	0	0	1	1	1	2	2	0	0	1	2	1	1
562.42863	1	0	1	1	1	1	2	2	0	0	1	2	1	1
562.42864	1	1	0	0	1	2	2	2	0	0	0	2	1	1
562.42866	1	1	1	1	1	0	2	2	1	1	1	2	0	1
562.42867	1	1	1	1	1	1	2	2	1	0	1	2	1	1
562.42868	1	1	1	1	1	1	2	2	1	0	1	2	1	1
562.42869	1	1	0	1	1	0	2	2	2	0	1	2	1	1
562.42872	1	1	2	1	1	1	2	2	1	1	1	2	1	1
562.42873	1	1	1	1	1	1	2	2	1	1	1	2	1	1
562.45395	1	2	2	2	2	1	2	2	2	2	2	2	1	1
562.45396	1	2	2	2	2	0	2	2	2	1	2	2	1	1
562.45397	1	2	2	2	2	0	2	2	2	0	2	2	1	2
562.45399	1	2	2	2	2	0	2	2	2	0	2	2	0	1
562.45400	1	2	2	2	2	0	2	2	2	1	2	2	1	1
562.45401	1	2	2	2	2	1	2	2	2	0	2	2	1	1
562.45403	1	2	2	2	2	0	2	2	2	2	2	2	0	1
562.45404	1	2	2	2	2	2	2	2	2	1	2	2	1	1
562.45845	1	1	1	1	2	1	2	2	1	1	2	2	1	1
562.45847	1	2	2	2	1	0	2	2	2	1	2	2	2	1
562.45848	1	2	0	2	1	0	2	2	2	0	2	2	2	1
562.45849	1	2	0	2	1	2	2	2	2	1	2	2	2	1
562.45850	1	2	0	2	1	2	2	2	2	1	2	2	2	1
562.45851	1	2	0	2	0	0	2	2	2	0	2	2	2	1
562.45910	1	2	0	2	1	1	2	2	2	0	2	2	2	1
562.45916	1	2	1	2	1	1	2	2	2	1	2	2	2	1
1328432.3	0	0	2	0	2	2	2	2	2	0	0	2	0	0
562.12961	0	0	2	1	1	0	2	0	0	1	2	1	2	1
562.16325	0	2	1	1	1	1	2	2	1	1	1	2	1	1
562.16326	0	1	1	1	2	1	2	2	1	0	1	2	1	1
562.22428	0	0	0	0	0	0	2	0	0	0	0	1	2	0
562.22430	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22433	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22435	0	0	0	0	0	0	2	1	1	0	0	0	2	1
562.22436	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22437	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22438	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22439	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22441	0	0	0	0	0	0	2	0	1	0	0	0	2	1
562.22443	0	0	0	0	0	0	2	1	0	0	0	1	2	1
562.22444	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22445	0	0	2	0	0	0	2	0	0	1	0	0	2	1
562.22446	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22447	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22448	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22449	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22450	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22451	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22452	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22453	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22454	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22458	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22459	0	0	0	0	0	0	2	0	2	0	0	0	2	0
562.22461	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22462	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22463	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22464	0	2	0	0	0	0	2	0	0	0	0	0	2	1
562.22466	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22467	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22468	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22470	0	0	0	0	0	0	2	1	0	0	0	0	2	0
562.22473	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22474	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22476	0	0	1	0	0	0	2	1	0	1	0	0	2	1
562.22477	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22480	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22482	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22485	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22486	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22487	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22489	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22490	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22492	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22493	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22494	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22497	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22498	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22500	0	0	0	0	0	0	2	2	0	0	0	0	2	1
562.22502	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22504	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22505	0	0	0	0	0	0	2	0	1	0	0	0	2	1
562.22506	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22507	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22508	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22509	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22510	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22511	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22512	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22513	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22514	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22515	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22516	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22517	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22519	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22520	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22521	0	0	0	0	0	0	2	1	1	0	0	1	2	1
562.22522	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22523	0	0	2	0	0	0	2	0	0	2	0	0	2	0
562.22524	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22525	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22526	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22528	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22529	0	0	0	1	1	0	2	0	0	0	1	1	2	1
562.22530	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22532	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22533	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22534	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22535	0	0	0	0	2	2	2	0	0	0	1	1	2	1
562.22537	0	2	0	0	0	0	2	0	0	0	0	1	2	1
562.22538	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22540	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22542	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22544	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22545	0	0	0	0	0	0	2	0	1	0	0	0	2	1
562.22546	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22547	0	0	0	0	2	0	2	1	0	0	1	1	2	1
562.22548	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22549	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22550	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22552	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22553	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22554	0	0	0	0	0	0	2	1	1	0	0	0	2	1
562.22555	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22556	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22557	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22558	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22559	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22561	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22562	0	0	0	0	0	0	2	1	0	0	0	1	2	1
562.22563	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22564	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22566	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22567	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22568	0	0	0	0	0	0	2	2	0	0	0	0	2	0
562.22569	0	0	0	0	0	0	2	0	0	0	0	1	2	1
562.22570	0	0	0	0	0	0	2	1	0	0	0	0	2	0
562.22571	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22572	0	0	0	0	0	0	2	0	0	0	0	1	2	1
562.22573	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22574	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22576	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22577	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22578	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22579	0	0	0	0	0	0	2	0	1	0	0	0	2	1
562.22580	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22581	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22584	0	0	0	0	0	0	2	0	1	0	0	0	2	1
562.22585	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22587	0	0	0	0	0	0	2	1	1	0	0	0	2	1
562.22589	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22590	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22591	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22592	0	2	0	0	0	0	2	0	1	0	0	1	2	1
562.22593	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22594	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22597	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22598	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22599	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22600	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22603	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22604	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22605	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22606	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22607	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22608	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22609	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22610	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22612	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22613	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22614	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22615	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22617	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22618	0	0	0	0	0	2	2	1	0	0	2	1	2	1
562.22621	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22623	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22624	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22625	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22627	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22628	0	2	0	0	0	0	2	0	0	0	0	0	2	0
562.22629	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22632	0	0	0	0	0	0	2	0	1	0	0	0	2	1
562.22633	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22634	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22635	0	2	1	0	0	0	2	1	0	1	0	1	2	1
562.22637	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22638	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22639	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22640	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22641	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22643	0	2	0	0	2	0	2	0	0	0	0	1	2	1
562.22644	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22645	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22646	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22648	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22649	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22652	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22653	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22654	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22656	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22658	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22659	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22660	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22661	0	2	0	0	0	0	2	0	0	0	0	1	2	1
562.22662	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22663	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22664	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22665	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22666	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22667	0	2	0	0	0	0	2	0	0	0	0	1	2	1
562.22668	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22670	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22671	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22673	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22674	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22675	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22676	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22678	0	0	0	0	0	0	2	0	0	0	0	1	2	0
562.22679	0	2	0	0	0	0	2	0	0	0	0	0	2	0
562.22681	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22682	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22683	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22684	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22686	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22687	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22688	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22689	0	0	2	0	0	0	2	1	0	2	0	0	2	1
562.22690	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22692	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22693	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22695	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22696	0	0	0	0	2	2	2	0	0	0	1	1	2	1
562.22697	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22698	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22699	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22701	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22702	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22703	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22704	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22705	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22706	0	0	0	0	0	0	2	1	0	0	0	0	2	0
562.22707	0	0	0	0	0	0	2	1	1	0	0	0	2	1
562.22709	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22710	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22711	0	0	0	0	0	0	2	0	1	0	0	0	2	1
562.22712	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22713	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22714	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22715	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22716	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22719	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22720	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22722	0	0	0	0	0	0	2	1	1	0	0	0	2	1
562.22723	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22725	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22726	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22727	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22728	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22729	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22730	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22731	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22732	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22734	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22735	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22736	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22737	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22738	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22740	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22741	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22742	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22743	0	1	0	0	0	0	2	0	0	0	0	1	2	1
562.22744	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22745	0	0	0	0	0	0	2	0	1	0	0	0	2	1
562.22747	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22748	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22749	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22750	0	0	0	0	0	0	2	0	1	0	0	0	2	1
562.22751	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22752	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22753	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22755	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22756	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22757	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22758	0	0	0	0	0	0	2	1	2	0	0	0	2	1
562.22759	0	0	0	0	0	0	2	0	1	0	0	0	2	1
562.22760	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22762	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22763	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22764	0	2	0	2	1	1	2	1	0	0	1	1	2	1
562.22766	0	0	1	0	0	0	2	1	0	1	0	0	2	1
562.22769	0	0	0	0	0	0	2	1	0	0	0	0	2	0
562.22771	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22772	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22773	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22774	0	0	0	0	0	0	2	0	1	0	0	0	2	1
562.22775	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22776	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22777	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22778	0	0	1	0	0	0	2	0	0	1	0	0	2	1
562.22779	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22780	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22781	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22782	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22784	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22785	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22786	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22788	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22789	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22790	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22791	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22792	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22793	0	2	0	2	2	0	2	0	0	0	0	1	2	1
562.22795	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22796	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22798	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22799	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22800	0	0	0	0	0	0	2	0	0	0	0	1	2	1
562.22801	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22802	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22803	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22804	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22805	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22807	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22808	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22809	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22810	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22812	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22814	0	0	0	0	0	0	2	1	0	0	0	0	2	0
562.22815	0	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22816	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22817	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22818	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22819	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22820	0	0	0	0	0	0	2	1	1	0	0	0	2	1
562.22823	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22824	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22825	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22826	0	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22827	0	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22828	0	2	2	0	2	2	0	2	0	0	2	0	2	2
562.22829	0	2	2	0	2	2	0	2	0	0	2	0	2	2
562.22830	0	2	2	0	2	2	1	2	0	0	2	0	2	2
562.22831	0	2	2	0	2	2	1	2	0	0	2	0	2	2
562.22832	0	2	2	0	2	2	1	2	0	0	2	0	2	2
562.22833	0	2	2	0	2	2	0	2	0	0	2	0	2	2
562.22834	0	2	2	0	2	2	0	2	0	0	2	0	2	2
562.22835	0	2	2	0	2	2	1	2	0	0	2	0	2	2
562.22836	0	2	2	0	2	2	1	2	0	0	2	0	2	2
562.22837	0	2	2	0	2	2	0	2	0	0	2	0	2	2
