	moxifloxacin	azithromycin	clarithromycin
1496.1158	0	0	0
1496.1161	0	0	0
1496.1162	0	0	0
1496.1163	0	0	0
1496.1165	0	0	0
1496.1167	0	0	0
1496.1168	0	1	1
1496.1169	0	0	0
1496.1170	0	0	0
1496.1171	0	0	0
1496.1172	0	0	0
1496.1175	0	0	0
1496.1177	0	0	0
1496.1178	0	0	0
1496.1179	0	0	0
1496.1181	0	0	0
1496.1182	0	0	0
1496.1184	0	0	0
1496.1185	0	0	0
1496.1187	0	0	0
1496.1188	0	0	0
1496.1190	0	1	1
1496.1193	0	0	0
1496.1194	0	0	0
1496.1195	0	0	0
1496.1196	0	1	1
1496.1197	0	0	0
1496.1199	0	0	0
1496.1201	0	1	1
1496.1203	0	1	1
1496.1206	0	0	0
1496.1207	0	0	0
1496.1210	0	0	0
1496.1212	0	0	0
1496.1216	0	0	0
1496.1217	0	0	0
1496.1218	0	0	0
1496.1219	0	0	0
1496.1220	0	0	0
1496.1223	0	0	0
1496.1227	0	0	0
1496.1229	0	0	0
1496.1230	0	0	0
1496.1231	0	0	0
1496.1232	0	0	0
1496.1236	0	0	0
1496.1238	0	0	0
1496.1240	0	0	0
1496.1241	0	0	0
1496.1242	0	0	0
1496.1243	0	0	0
1496.1244	0	0	0
1496.1247	0	0	0
1496.900	0	0	0
1496.907	0	0	0
1496.908	0	1	1
1496.909	0	0	0
1496.910	0	0	0
1496.911	0	1	1
1496.915	0	0	0
1496.916	0	0	0
1496.917	0	0	0
1496.919	0	1	1
1496.921	0	0	0
1496.927	0	0	0
1496.928	0	0	0
1496.932	0	0	0
1496.933	0	0	0
1496.934	0	0	0
1496.936	0	0	0
1496.938	0	0	0
1496.940	0	0	0
1496.942	0	0	0
1496.943	0	0	0
1496.944	0	0	0
1496.945	0	0	0
1496.948	0	0	0
1496.949	0	0	0
1496.951	0	0	0
1496.952	0	0	0
1496.953	0	1	1
1496.955	0	0	0
1496.956	0	0	0
1496.957	0	0	0
1496.958	0	0	0
1496.963	0	0	0
1496.966	0	0	0
1496.967	0	0	0
1496.968	0	0	0
1496.969	0	0	0
1496.970	0	0	0
1496.972	0	0	0
1496.973	0	0	0
1496.977	0	0	0
1496.978	0	0	0
1496.979	0	0	0
1496.980	0	0	0
1496.984	0	0	0
1496.985	0	1	1
1496.986	0	0	0
1496.989	0	0	0
1496.991	0	0	0
1496.992	0	1	1
1496.993	0	1	1
1496.994	0	0	0
1496.996	0	0	0
1496.997	0	0	0
1496.999	0	0	0
