	chloramphenicol	erythromycin	penicillin	trimethoprim_sulfamethoxazole	tetracycline
1313.17163	0	0	0	0	0
1313.17164	0	0	0	0	0
1313.17165	0	0	0	0	0
1313.17166	0	1	0	0	0
1313.17167	0	1	0	0	0
1313.17168	0	0	0	2	0
1313.17169	0	0	0	0	0
1313.17171	0	1	0	0	0
1313.17172	0	0	0	2	0
1313.17173	0	0	0	0	0
1313.17174	0	0	0	0	0
1313.17175	0	0	0	0	0
1313.17176	0	0	0	0	0
1313.17177	0	0	0	2	0
1313.17178	0	0	0	2	0
1313.17179	0	0	0	0	0
1313.17180	0	1	0	2	0
1313.17181	0	0	0	0	0
1313.17182	0	1	0	2	0
1313.17183	0	0	0	2	0
1313.17184	0	0	0	2	0
1313.17185	0	1	0	2	0
1313.17186	0	1	0	1	0
1313.17187	0	1	0	1	0
1313.17188	0	1	0	2	0
1313.17189	0	1	0	2	0
1313.17190	0	0	0	0	0
1313.17191	0	1	0	2	0
1313.17192	0	1	0	2	0
1313.17193	0	1	0	2	0
1313.17194	0	1	0	2	0
1313.17195	0	1	0	2	0
1313.17196	0	1	0	2	0
1313.17197	0	1	0	2	0
1313.17198	0	1	0	2	0
1313.17199	0	1	0	2	0
1313.17200	0	1	0	2	0
1313.17201	0	1	0	2	0
1313.17202	0	0	0	0	0
1313.17203	0	1	0	2	0
1313.17204	0	1	0	2	0
1313.17205	0	1	0	1	0
1313.17206	0	1	0	0	2
1313.17207	0	1	0	2	0
1313.17208	0	1	0	2	0
1313.17209	0	0	0	0	0
1313.17210	0	1	0	0	0
1313.17211	0	1	0	0	0
1313.17212	0	0	0	0	0
1313.17213	0	1	0	0	0
1313.17214	0	1	0	0	0
1313.17215	0	1	0	0	0
1313.17216	0	1	0	0	0
1313.17217	0	0	0	0	0
1313.17218	0	1	0	0	0
1313.17219	0	1	0	0	0
1313.17220	0	1	0	0	0
1313.17221	0	0	0	0	0
1313.17222	0	1	0	0	0
1313.17223	0	0	0	0	0
1313.17224	0	0	0	0	0
1313.17225	0	0	0	0	0
1313.17226	0	0	0	0	0
1313.17227	0	0	0	0	0
1313.17228	0	0	0	0	0
1313.17230	0	0	0	0	0
1313.17231	0	0	0	0	0
1313.17232	0	0	0	0	0
1313.17233	0	0	0	0	0
1313.17234	0	0	0	0	0
1313.17235	0	0	0	0	0
1313.17236	0	0	0	0	0
1313.17237	0	0	0	0	0
1313.17238	0	0	0	0	0
1313.17239	0	0	0	0	0
1313.17240	0	0	0	0	0
1313.17241	0	0	0	0	0
1313.17242	0	0	0	0	0
1313.17243	0	0	0	0	0
1313.17244	0	0	0	0	0
1313.17245	0	0	0	0	0
1313.17246	0	0	0	0	0
1313.17247	0	0	0	0	0
1313.17248	0	0	0	0	0
1313.17249	0	0	0	0	0
1313.17250	0	0	0	0	0
1313.17251	0	0	0	0	0
1313.17252	0	0	0	0	0
1313.17253	0	0	0	0	0
1313.17254	0	0	0	0	0
1313.17255	0	0	0	0	0
1313.17256	0	1	0	0	0
1313.17257	0	1	0	1	0
1313.17258	0	0	0	0	0
1313.17259	0	1	0	1	0
1313.17260	0	0	0	2	0
1313.17261	0	0	0	0	0
1313.17262	0	0	0	0	0
1313.17263	0	0	0	0	0
1313.17264	0	0	0	0	0
1313.17265	0	0	0	0	0
1313.17266	0	0	0	0	0
1313.17267	0	1	0	2	0
1313.17268	0	1	0	2	0
1313.17269	0	0	0	0	0
1313.17270	0	1	0	2	1
1313.17271	0	0	0	0	0
1313.17272	0	1	0	0	1
1313.17273	0	0	0	0	0
1313.17274	0	1	0	0	0
1313.17275	0	0	0	0	0
1313.17276	0	0	0	0	0
1313.17277	0	0	0	0	0
1313.17278	0	0	0	0	0
1313.17279	0	0	0	2	0
1313.17280	0	0	0	2	0
1313.17281	0	0	0	0	0
1313.17282	0	0	0	0	0
1313.17283	0	0	0	1	0
1313.17284	0	0	0	0	0
1313.17285	0	0	0	0	0
1313.17286	0	0	0	0	0
1313.17287	0	1	0	2	1
1313.17288	0	1	0	2	1
1313.17289	0	1	0	2	1
1313.17290	0	1	0	2	1
1313.17291	0	1	0	2	1
1313.17292	0	0	0	0	0
1313.17293	0	1	0	2	1
1313.17295	0	0	0	0	0
1313.17296	0	0	0	0	0
1313.17297	0	0	0	0	0
1313.17298	0	0	0	0	0
1313.17299	0	0	0	0	0
1313.17300	0	0	0	2	0
1313.17301	0	0	0	0	0
1313.17302	0	1	0	0	0
1313.17303	0	0	0	0	0
1313.17304	0	0	0	0	0
1313.17305	0	0	0	0	0
1313.17306	0	0	0	0	0
1313.17307	0	0	0	0	0
1313.17308	0	0	0	0	0
1313.17309	0	1	0	0	0
1313.17310	0	0	0	0	0
1313.17311	0	1	0	1	1
1313.17312	0	1	2	1	1
1313.17313	0	1	2	1	1
1313.5440	0	1	2	2	1
1313.5468	0	2	2	2	1
1313.5484	0	2	2	2	1
1313.5491	0	2	2	2	1
1313.5510	0	2	2	2	2
1313.5525	0	2	2	2	1
1313.5530	0	2	2	2	1
1313.5539	0	2	2	2	1
1313.5557	0	2	2	2	1
1313.5563	0	2	2	2	1
1313.5564	0	2	2	2	1
1313.5569	0	2	2	2	1
1313.5577	0	2	2	2	1
1313.5579	0	2	2	2	1
1313.5581	0	2	2	2	1
1313.5582	0	2	2	2	1
1313.5584	0	2	2	2	1
1313.5589	0	2	2	2	1
1313.5599	0	0	2	2	0
1313.5609	0	1	2	2	1
1313.5656	0	2	2	2	1
1313.5669	0	1	1	2	1
1313.5696	0	2	2	2	1
1313.5703	0	2	2	2	1
1313.5725	0	2	2	2	1
1313.5751	0	2	2	2	1
1313.5758	0	2	2	2	1
1313.5781	0	2	2	2	1
1313.5784	0	2	2	2	1
1313.5793	0	2	2	2	1
1313.5807	0	0	1	2	0
1313.5877	0	2	2	2	1
1313.5897	0	2	2	2	1
1313.5903	0	2	2	2	1
1313.5933	0	2	2	2	1
1313.5942	0	2	2	2	1
1313.5944	0	2	2	2	1
1313.5949	0	2	2	2	0
1313.5974	0	1	2	2	1
1313.5978	0	2	2	2	1
1313.6001	0	2	2	2	1
1313.6015	0	2	2	2	1
1313.6027	0	2	2	2	1
1313.6051	0	2	2	2	1
1313.6052	0	2	2	2	2
1313.6059	0	1	1	2	1
1313.6066	0	2	2	2	1
1313.6087	0	2	2	2	1
1313.6093	0	2	2	2	2
1313.6105	0	0	1	2	0
1313.6106	0	2	2	2	1
1313.6113	0	2	2	2	1
1313.6122	0	2	2	2	1
