	chloramphenicol	erythromycin	penicillin	trimethoprim_sulfamethoxazole	tetracycline
1313.10170	2	2	2	1	2
1313.10172	2	2	2	1	2
1313.10173	2	2	2	1	2
1313.10174	2	2	2	1	2
1313.10175	2	2	2	1	2
1313.10176	2	2	2	1	2
1313.10178	2	2	2	1	2
1313.10180	2	2	2	1	2
1313.10181	2	2	2	1	2
1313.10183	2	2	2	1	2
1313.10184	2	2	2	1	2
1313.10185	2	2	2	1	2
1313.10187	2	2	2	1	2
1313.10188	2	2	2	1	2
1313.10189	2	2	2	1	2
1313.10190	2	2	2	1	2
1313.10191	2	2	2	1	2
1313.10193	2	2	2	1	2
1313.10194	2	2	2	1	2
1313.10195	2	2	2	1	2
1313.10196	2	2	2	1	2
1313.10197	2	2	2	1	2
1313.10199	2	2	2	1	2
1313.10200	2	2	2	1	2
1313.10201	2	2	2	1	2
1313.10202	2	2	2	1	2
1313.10203	2	2	2	1	2
1313.10204	2	2	2	1	2
1313.10205	2	2	2	1	2
1313.10208	2	2	2	1	2
1313.10210	2	2	2	1	2
1313.10211	2	2	2	1	2
1313.10212	2	2	2	1	2
1313.10213	2	2	2	1	2
1313.10214	2	2	2	1	2
1313.10215	2	2	2	1	2
1313.10220	2	2	2	1	2
1313.10221	2	2	2	1	2
1313.10222	2	2	2	1	2
1313.10223	2	2	2	1	2
1313.10225	2	2	2	1	2
1313.10226	2	2	2	1	2
1313.10227	2	2	2	1	2
1313.10228	2	2	2	1	2
1313.10230	2	2	2	1	2
1313.10231	2	2	2	1	2
1313.10232	2	2	2	1	2
1313.10233	2	2	2	1	2
1313.10235	2	2	2	1	2
1313.10237	2	2	2	1	2
1313.10238	2	2	2	1	2
1313.10239	2	2	2	1	2
1313.10240	2	2	2	1	2
1313.10241	2	2	2	1	2
1313.10242	2	2	2	1	2
1313.10243	2	2	2	1	2
1313.10244	2	2	2	1	2
1313.10246	2	2	2	1	2
1313.10248	2	2	2	1	2
1313.10249	2	2	2	1	2
1313.10250	2	2	2	1	2
1313.10251	2	2	2	1	2
1313.10254	2	2	2	1	2
1313.10255	2	2	2	1	2
1313.10257	2	2	2	1	2
1313.10259	2	2	2	1	2
1313.10261	2	2	2	1	2
1313.10262	2	2	2	1	2
1313.10264	2	2	2	1	2
1313.10266	2	2	2	1	2
1313.10267	2	2	2	1	2
1313.10268	2	2	2	1	2
1313.10269	2	2	2	1	2
1313.10271	2	2	2	1	2
1313.10274	2	2	2	1	2
1313.10276	2	2	2	1	2
1313.10277	2	2	2	1	2
1313.10278	2	2	2	1	2
1313.10279	2	2	2	1	2
1313.10282	2	2	2	1	2
1313.10283	2	2	2	1	2
1313.10284	2	2	2	1	2
1313.10286	2	2	2	1	2
1313.10287	2	2	2	1	2
1313.10290	2	2	2	1	2
1313.10291	2	2	2	1	2
1313.10292	2	2	2	1	2
1313.10294	2	2	2	1	2
1313.10295	2	2	2	1	2
1313.10298	2	2	2	1	2
1313.10301	2	2	2	1	2
1313.10302	2	2	2	1	2
1313.10303	2	2	2	1	2
1313.10305	2	2	2	1	2
1313.10311	2	2	2	1	2
1313.10312	2	2	2	1	2
1313.10313	2	2	2	1	2
1313.10315	2	2	2	1	2
1313.10316	2	2	2	1	2
1313.10318	2	2	2	1	2
1313.10319	2	2	2	1	2
1313.10321	2	2	2	1	2
1313.10322	2	2	2	1	2
1313.10325	2	2	2	1	2
1313.10326	2	2	2	1	2
1313.10327	2	2	2	1	2
1313.10331	2	2	2	1	2
1313.10332	2	2	2	1	2
1313.10333	2	2	2	1	2
1313.10334	2	2	2	1	2
1313.10335	2	2	2	1	2
1313.10336	2	2	2	1	2
1313.10337	2	2	2	1	2
1313.10339	2	2	2	1	2
1313.10340	2	2	2	1	2
1313.10342	2	2	2	1	2
1313.10343	2	2	2	1	2
1313.10344	2	2	2	1	2
1313.10345	2	2	2	1	2
1313.10346	2	2	2	1	2
1313.10347	2	2	2	1	2
1313.10348	2	2	2	1	2
1313.10349	2	2	2	1	2
1313.10352	2	2	2	1	2
1313.10353	2	2	2	1	2
1313.10354	2	2	2	1	2
1313.10355	2	2	2	1	2
1313.10356	2	2	2	1	2
1313.10358	2	2	2	1	2
1313.10359	2	2	2	1	2
1313.10360	2	2	2	1	2
1313.10361	2	2	2	1	2
1313.10362	2	2	2	1	2
1313.10363	2	2	2	1	2
1313.10364	2	2	2	1	2
1313.10365	2	2	2	1	2
1313.10367	2	2	2	1	2
1313.10369	2	2	2	1	2
1313.10370	2	2	2	1	2
1313.10372	2	2	2	1	2
1313.10375	2	2	2	1	2
1313.10376	2	2	2	1	2
1313.10377	2	2	2	1	2
1313.10379	2	2	2	1	2
1313.10380	2	2	2	1	2
1313.10381	2	2	2	1	2
1313.10383	2	2	2	1	2
1313.10385	2	2	2	1	2
1313.10386	2	2	2	1	2
1313.10390	2	2	2	1	2
1313.10393	2	2	2	1	2
1313.10394	2	2	2	1	2
1313.10395	2	2	2	1	2
1313.10397	2	2	2	1	2
1313.10399	2	2	2	1	2
1313.10400	2	2	2	1	2
1313.10401	2	2	2	1	2
1313.10406	2	2	2	1	2
1313.10407	2	2	2	1	2
1313.10410	2	2	2	1	2
1313.10411	2	2	2	1	2
1313.10414	2	2	2	1	2
1313.10416	2	2	2	1	2
1313.10417	2	2	2	1	2
1313.10418	2	2	2	1	2
1313.10421	2	2	2	1	2
1313.10422	2	2	2	1	2
1313.10423	2	2	2	1	2
1313.10425	2	2	2	1	2
1313.10426	2	2	2	1	2
1313.10429	2	2	2	1	2
1313.10430	2	2	2	1	2
1313.10431	2	2	2	1	2
1313.10434	2	2	2	1	2
1313.10436	2	2	2	1	2
1313.10437	2	2	2	1	2
1313.10438	2	2	2	1	2
1313.10439	2	2	2	1	2
1313.10440	2	2	2	1	2
1313.10441	2	2	2	1	2
1313.10442	2	2	2	1	2
1313.10443	2	2	2	1	2
1313.10445	2	2	2	1	2
1313.10447	2	2	2	1	2
1313.10449	2	2	2	1	2
1313.10450	2	2	2	1	2
1313.10451	2	2	2	1	2
1313.10452	2	2	2	1	2
1313.10454	2	2	2	1	2
1313.10456	2	2	2	1	2
1313.10457	2	2	2	1	2
1313.10458	2	2	2	1	2
1313.10459	2	2	2	1	2
1313.10460	2	2	2	1	2
1313.10461	2	2	2	1	2
1313.10462	2	2	2	1	2
1313.10463	2	2	2	1	2
1313.10464	2	2	2	1	2
1313.10465	2	2	2	1	2
1313.10466	2	2	2	1	2
1313.10467	2	2	2	1	2
1313.10468	2	2	2	1	2
1313.10471	2	2	2	1	2
1313.10473	2	2	2	1	2
1313.10475	2	2	2	1	2
1313.10476	2	2	2	1	2
1313.10477	2	2	2	1	2
1313.10478	2	2	2	1	2
1313.10479	2	2	2	1	2
1313.10480	2	2	2	1	2
1313.10481	2	2	2	1	2
1313.10482	2	2	2	1	2
1313.10483	2	2	2	1	2
1313.10484	2	2	2	1	2
1313.10485	2	2	2	1	2
1313.10486	2	2	2	1	2
1313.10487	2	2	2	1	2
1313.10490	2	2	2	1	2
1313.10495	2	2	2	1	2
1313.10496	2	2	2	1	2
1313.10497	2	2	2	1	2
1313.10498	2	2	2	1	2
1313.10500	2	2	2	1	2
1313.10502	2	2	2	1	2
1313.10503	2	2	2	1	2
1313.10508	2	2	2	1	2
1313.10510	2	2	2	1	2
1313.10512	2	2	2	1	2
1313.10513	2	2	2	1	2
1313.10516	2	2	2	1	2
1313.10517	2	2	2	1	2
1313.10518	2	2	2	1	2
1313.10520	2	2	2	1	2
1313.10522	2	2	2	1	2
1313.10525	2	2	2	1	2
1313.10526	2	2	2	1	2
1313.10527	2	2	2	1	2
1313.10528	2	2	2	1	2
1313.10529	2	2	2	1	2
1313.10530	2	2	2	1	2
1313.10533	2	2	2	1	2
1313.10534	2	2	2	1	2
1313.10535	2	2	2	1	2
1313.10536	2	2	2	1	2
1313.10537	2	2	2	1	2
1313.10538	2	2	2	1	2
1313.10539	2	2	2	1	2
1313.10540	2	2	2	1	2
1313.10541	2	2	2	1	2
1313.10542	2	2	2	1	2
1313.10543	2	2	2	1	2
1313.10544	2	2	2	1	2
1313.10546	2	2	2	1	2
1313.10547	2	2	2	1	2
1313.10548	2	2	2	1	2
1313.10549	2	2	2	1	2
1313.10550	2	2	2	1	2
1313.10551	2	2	2	1	2
1313.10552	2	2	2	1	2
1313.10555	2	2	2	1	2
1313.10556	2	2	2	1	2
1313.10557	2	2	2	1	2
1313.10559	2	2	2	1	2
1313.10562	2	2	2	1	2
1313.10563	2	2	2	1	2
1313.10564	2	2	2	1	2
1313.10566	2	2	2	1	2
1313.10568	2	2	2	1	2
1313.10570	2	2	2	1	2
1313.10572	2	2	2	1	2
1313.10573	2	2	2	1	2
1313.10574	2	2	2	1	2
1313.10575	2	2	2	1	2
1313.10578	2	2	2	1	2
1313.10579	2	2	2	1	2
1313.10582	2	2	2	1	2
1313.10584	2	2	2	1	2
1313.10585	2	2	2	1	2
1313.10587	2	2	2	1	2
1313.10589	2	2	2	1	2
1313.10590	2	2	2	1	2
1313.10591	2	2	2	1	2
1313.10592	2	2	2	1	2
1313.10593	2	2	2	1	2
1313.10595	2	2	2	1	2
1313.10596	2	2	2	1	2
1313.10597	2	2	2	1	2
1313.10598	2	2	2	1	2
1313.10599	2	2	2	1	2
1313.10601	2	2	2	1	2
1313.10602	2	2	2	1	2
1313.10605	2	2	2	1	2
1313.10606	2	2	2	1	2
1313.10607	2	2	2	1	2
1313.10608	2	2	2	1	2
1313.10610	2	2	2	1	2
1313.10611	2	2	2	1	2
1313.10612	2	2	2	1	2
1313.10613	2	2	2	1	2
1313.10616	2	2	2	1	2
1313.10617	2	2	2	1	2
1313.10618	2	2	2	1	2
1313.10619	2	2	2	1	2
1313.10621	2	2	2	1	2
1313.10623	2	2	2	1	2
1313.10625	2	2	2	1	2
1313.10626	2	2	2	1	2
1313.10627	2	2	2	1	2
1313.10628	2	2	2	1	2
1313.10629	2	2	2	1	2
1313.10630	2	2	2	1	2
1313.10634	2	2	2	1	2
1313.10635	2	2	2	1	2
1313.10636	2	2	2	1	2
1313.10637	2	2	2	1	2
1313.10638	2	2	2	1	2
1313.10639	2	2	2	1	2
1313.10641	2	2	2	1	2
1313.10642	2	2	2	1	2
1313.10643	2	2	2	1	2
1313.10644	2	2	2	1	2
1313.10646	2	2	2	1	2
1313.10647	2	2	2	1	2
1313.10649	2	2	2	1	2
1313.10650	2	2	2	1	2
1313.10653	2	2	2	1	2
1313.10654	2	2	2	1	2
1313.10657	2	2	2	1	2
1313.10658	2	2	2	1	2
1313.10659	2	2	2	1	2
1313.10660	2	2	2	1	2
1313.10661	2	2	2	1	2
1313.10662	2	2	2	1	2
1313.10664	2	2	2	1	2
1313.10665	2	2	2	1	2
1313.10666	2	2	2	1	2
1313.10667	2	2	2	1	2
1313.10668	2	2	2	1	2
1313.10670	2	2	2	1	2
1313.10671	2	2	2	1	2
1313.10674	2	2	2	1	2
1313.10675	2	2	2	1	2
1313.10676	2	2	2	1	2
1313.10677	2	2	2	1	2
1313.10678	2	2	2	1	2
1313.10679	2	2	2	1	2
1313.10680	2	2	2	1	2
1313.10681	2	2	2	1	2
1313.10682	2	2	2	1	2
1313.10683	2	2	2	1	2
1313.10684	2	2	2	1	2
1313.10685	2	2	2	1	2
1313.10686	2	2	2	1	2
1313.10687	2	2	2	1	2
1313.10689	2	2	2	1	2
1313.10690	2	2	2	1	2
1313.10692	2	2	2	1	2
1313.10694	2	2	2	1	2
1313.10695	2	2	2	1	2
1313.10696	2	2	2	1	2
1313.10698	2	2	2	1	2
1313.10700	2	2	2	1	2
1313.10701	2	2	2	1	2
1313.10703	2	2	2	1	2
1313.10704	2	2	2	1	2
1313.10706	2	2	2	1	2
1313.10707	2	2	2	1	2
1313.10708	2	2	2	1	2
1313.10709	2	2	2	1	2
1313.10710	2	2	2	1	2
1313.10713	2	2	2	1	2
1313.10714	2	2	2	1	2
1313.10715	2	2	2	1	2
1313.10717	2	2	2	1	2
1313.10718	2	2	2	1	2
1313.10720	2	2	2	1	2
1313.10721	2	2	2	1	2
1313.10722	2	2	2	1	2
1313.10724	2	2	2	1	2
1313.10727	2	2	2	1	2
1313.10729	2	2	2	1	2
1313.10730	2	2	2	1	2
1313.10731	2	2	2	1	2
1313.10732	2	2	2	1	2
1313.10733	2	2	2	1	2
1313.10734	2	2	2	1	2
1313.10735	2	2	2	1	2
1313.10741	2	2	2	1	2
1313.10742	2	2	2	1	2
1313.10743	2	2	2	1	2
1313.10745	2	2	2	1	2
1313.10749	2	2	2	1	2
1313.10750	2	2	2	1	2
1313.10751	2	2	2	1	2
1313.10753	2	2	2	1	2
1313.10755	2	2	2	1	2
1313.10757	2	2	2	1	2
1313.10758	2	2	2	1	2
1313.10759	2	2	2	1	2
1313.10760	2	2	2	1	2
1313.10761	2	2	2	1	2
1313.10762	2	2	2	1	2
1313.10763	2	2	2	1	2
1313.10765	2	2	2	1	2
1313.10766	2	2	2	1	2
1313.10767	2	2	2	1	2
1313.10769	2	2	2	1	2
1313.10770	2	2	2	1	2
1313.10772	2	2	2	1	2
1313.10774	2	2	2	1	2
1313.10775	2	2	2	1	2
1313.10778	2	2	2	1	2
1313.10780	2	2	2	1	2
1313.10781	2	2	2	1	2
1313.10782	2	2	2	1	2
1313.10783	2	2	2	1	2
1313.10784	2	2	2	1	2
1313.10789	2	2	2	1	2
1313.10792	2	2	2	1	2
1313.10793	2	2	2	1	2
1313.10794	2	2	2	1	2
1313.10795	2	2	2	1	2
1313.10796	2	2	2	1	2
1313.10797	2	2	2	1	2
1313.10798	2	2	2	1	2
1313.10800	2	2	2	1	2
1313.10802	2	2	2	1	2
1313.10803	2	2	2	1	2
1313.10804	2	2	2	1	2
1313.10805	2	2	2	1	2
1313.10806	2	2	2	1	2
1313.10807	2	2	2	1	2
1313.10808	2	2	2	1	2
1313.10810	2	2	2	1	2
1313.10811	2	2	2	1	2
1313.10813	2	2	2	1	2
1313.10815	2	2	2	1	2
1313.10817	2	2	2	1	2
1313.10818	2	2	2	1	2
1313.10819	2	2	2	1	2
1313.10821	2	2	2	1	2
1313.10823	2	2	2	1	2
1313.10825	2	2	2	1	2
1313.10827	2	2	2	1	2
1313.10828	2	2	2	1	2
1313.10829	2	2	2	1	2
1313.10830	2	2	2	1	2
1313.10831	2	2	2	1	2
1313.10832	2	2	2	1	2
1313.10833	2	2	2	1	2
1313.10835	2	2	2	1	2
1313.10836	2	2	2	1	2
1313.10837	2	2	2	1	2
1313.10840	2	2	2	1	2
1313.10848	2	2	2	1	2
1313.10849	2	2	2	1	2
1313.10850	2	2	2	1	2
1313.10851	2	2	2	1	2
1313.10852	2	2	2	1	2
1313.10853	2	2	2	1	2
1313.10854	2	2	2	1	2
1313.10857	2	2	2	1	2
1313.10858	2	2	2	1	2
1313.10859	2	2	2	1	2
1313.10862	2	2	2	1	2
1313.10863	2	2	2	1	2
1313.10864	2	2	2	1	2
1313.10865	2	2	2	1	2
1313.10867	2	2	2	1	2
1313.10869	2	2	2	1	2
1313.10870	2	2	2	1	2
1313.10871	2	2	2	1	2
1313.10872	2	2	2	1	2
1313.10873	2	2	2	1	2
1313.10874	2	2	2	1	2
1313.10875	2	2	2	1	2
1313.10876	2	2	2	1	2
1313.10877	2	2	2	1	2
1313.10878	2	2	2	1	2
1313.10879	2	2	2	1	2
1313.10880	2	2	2	1	2
1313.10881	2	2	2	1	2
1313.10882	2	2	2	1	2
1313.10883	2	2	2	1	2
1313.10884	2	2	2	1	2
1313.10885	2	2	2	1	2
1313.10886	2	2	2	1	2
1313.10888	2	2	2	1	2
1313.10889	2	2	2	1	2
1313.10891	2	2	2	1	2
1313.10893	2	2	2	1	2
1313.10894	2	2	2	1	2
1313.10896	2	2	2	1	2
1313.10898	2	2	2	1	2
1313.10899	2	2	2	1	2
1313.10900	2	2	2	1	2
1313.10901	2	2	2	1	2
1313.10903	2	2	2	1	2
1313.10904	2	2	2	1	2
1313.10905	2	2	2	1	2
1313.10906	2	2	2	1	2
1313.10909	2	2	2	1	2
1313.10910	2	2	2	1	2
1313.10914	2	2	2	1	2
1313.10915	2	2	2	1	2
1313.10917	2	2	2	1	2
1313.10919	2	2	2	1	2
1313.10920	2	2	2	1	2
1313.10922	2	2	2	1	2
1313.10923	2	2	2	1	2
1313.10924	2	2	2	1	2
1313.10925	2	2	2	1	2
1313.10926	2	2	2	1	2
1313.10928	2	2	2	1	2
1313.10929	2	2	2	1	2
1313.10932	2	2	2	1	2
1313.10933	2	2	2	1	2
1313.10934	2	2	2	1	2
1313.10935	2	2	2	1	2
1313.10937	2	2	2	1	2
1313.10938	2	2	2	1	2
1313.10939	2	2	2	1	2
1313.10940	2	2	2	1	2
1313.10942	2	2	2	1	2
1313.10943	2	2	2	1	2
1313.10944	2	2	2	1	2
1313.10946	2	2	2	1	2
1313.10948	2	2	2	1	2
1313.10950	2	2	2	1	2
1313.10953	2	2	2	1	2
1313.10954	2	2	2	1	2
1313.10960	2	2	2	1	2
1313.10961	2	2	2	1	2
1313.10964	2	2	2	1	2
1313.10966	2	2	2	1	2
1313.10967	2	2	2	1	2
1313.10968	2	2	2	1	2
1313.10970	2	2	2	1	2
1313.10971	2	2	2	1	2
1313.10972	2	2	2	1	2
1313.10975	2	2	2	1	2
1313.10976	2	2	2	1	2
1313.10978	2	2	2	1	2
1313.10979	2	2	2	1	2
1313.10980	2	2	2	1	2
1313.10982	2	2	2	1	2
1313.10983	2	2	2	1	2
1313.10984	2	2	2	1	2
1313.10985	2	2	2	1	2
1313.10986	2	2	2	1	2
1313.10991	2	2	2	1	2
1313.10992	2	2	2	1	2
1313.10993	2	2	2	1	2
1313.10995	2	2	2	1	2
1313.10997	2	2	2	1	2
1313.10999	2	2	2	1	2
1313.11003	2	2	2	1	2
1313.11004	2	2	2	1	2
1313.11005	2	2	2	1	2
1313.11007	2	2	2	1	2
1313.11008	2	2	2	1	2
1313.11009	2	2	2	1	2
1313.11010	2	2	2	1	2
1313.11011	2	2	2	1	2
1313.11013	2	2	2	1	2
1313.11015	2	2	2	1	2
1313.11016	2	2	2	1	2
1313.11017	2	2	2	1	2
1313.11019	2	2	2	1	2
1313.11021	2	2	2	1	2
1313.11022	2	2	2	1	2
1313.11023	2	2	2	1	2
1313.11024	2	2	2	1	2
1313.11025	2	2	2	1	2
1313.11028	2	2	2	1	2
1313.11032	2	2	2	1	2
1313.11033	2	2	2	1	2
1313.11034	2	2	2	1	2
1313.11036	2	2	2	1	2
1313.11038	2	2	2	1	2
1313.11039	2	2	2	1	2
1313.11040	2	2	2	1	2
1313.11041	2	2	2	1	2
1313.11042	2	2	2	1	2
1313.11043	2	2	2	1	2
1313.11044	2	2	2	1	2
1313.11045	2	2	2	1	2
1313.11048	2	2	2	1	2
1313.11049	2	2	2	1	2
1313.11051	2	2	2	1	2
1313.11052	2	2	2	1	2
1313.11053	2	2	2	1	2
1313.11054	2	2	2	1	2
1313.11056	2	2	2	1	2
1313.11057	2	2	2	1	2
1313.11058	2	2	2	1	2
1313.11061	2	2	2	1	2
1313.11063	2	2	2	1	2
1313.11064	2	2	2	1	2
1313.11066	2	2	2	1	2
1313.11067	2	2	2	1	2
1313.11068	2	2	2	1	2
1313.11069	2	2	2	1	2
1313.11070	2	2	2	1	2
1313.11072	2	2	2	1	2
1313.11078	2	2	2	1	2
1313.11080	2	2	2	1	2
1313.11084	2	2	2	1	2
1313.11085	2	2	2	1	2
1313.11086	2	2	2	1	2
1313.11087	2	2	2	1	2
1313.11088	2	2	2	1	2
1313.11089	2	2	2	1	2
1313.11091	2	2	2	1	2
1313.11092	2	2	2	1	2
1313.11093	2	2	2	1	2
1313.11094	2	2	2	1	2
1313.11095	2	2	2	1	2
1313.11096	2	2	2	1	2
1313.11097	2	2	2	1	2
1313.11098	2	2	2	1	2
1313.11100	2	2	2	1	2
1313.11102	2	2	2	1	2
1313.11103	2	2	2	1	2
1313.11104	2	2	2	1	2
1313.11105	2	2	2	1	2
1313.11108	2	2	2	1	2
1313.11109	2	2	2	1	2
1313.11111	2	2	2	1	2
1313.11112	2	2	2	1	2
1313.11114	2	2	2	1	2
1313.11116	2	2	2	1	2
1313.11117	2	2	2	1	2
1313.11118	2	2	2	1	2
1313.11122	2	2	2	1	2
1313.11124	2	2	2	1	2
1313.11125	2	2	2	1	2
1313.11126	2	2	2	1	2
1313.11127	2	2	2	1	2
1313.11128	2	2	2	1	2
1313.11129	2	2	2	1	2
1313.11130	2	2	2	1	2
1313.11134	2	2	2	1	2
1313.11136	2	2	2	1	2
1313.11137	2	2	2	1	2
1313.11138	2	2	2	1	2
1313.11139	2	2	2	1	2
1313.11140	2	2	2	1	2
1313.11141	2	2	2	1	2
1313.11142	2	2	2	1	2
1313.11143	2	2	2	1	2
1313.11145	2	2	2	1	2
1313.11146	2	2	2	1	2
1313.11147	2	2	2	1	2
1313.11150	2	2	2	1	2
1313.11151	2	2	2	1	2
1313.11153	2	2	2	1	2
1313.11154	2	2	2	1	2
1313.11155	2	2	2	1	2
1313.11157	2	2	2	1	2
1313.11158	2	2	2	1	2
1313.11160	2	2	2	1	2
1313.11161	2	2	2	1	2
1313.11162	2	2	2	1	2
1313.11163	2	2	2	1	2
1313.11164	2	2	2	1	2
1313.11166	2	2	2	1	2
1313.11167	2	2	2	1	2
1313.11168	2	2	2	1	2
1313.11169	2	2	2	1	2
1313.11170	2	2	2	1	2
1313.11171	2	2	2	1	2
1313.11172	2	2	2	1	2
1313.11173	2	2	2	1	2
1313.11174	2	2	2	1	2
1313.11175	2	2	2	1	2
1313.11176	2	2	2	1	2
1313.11177	2	2	2	1	2
1313.11178	2	2	2	1	2
1313.11179	2	2	2	1	2
1313.11180	2	2	2	1	2
1313.11181	2	2	2	1	2
1313.11183	2	2	2	1	2
1313.11184	2	2	2	1	2
1313.11185	2	2	2	1	2
1313.11186	2	2	2	1	2
1313.11187	2	2	2	1	2
1313.11188	2	2	2	1	2
1313.11190	2	2	2	1	2
1313.11191	2	2	2	1	2
1313.11192	2	2	2	1	2
1313.11193	2	2	2	1	2
1313.11194	2	2	2	1	2
1313.11195	2	2	2	1	2
1313.11197	2	2	2	1	2
1313.11199	2	2	2	1	2
1313.11200	2	2	2	1	2
1313.11201	2	2	2	1	2
1313.11202	2	2	2	1	2
1313.11203	2	2	2	1	2
1313.11205	2	2	2	1	2
1313.11207	2	2	2	1	2
1313.11208	2	2	2	1	2
1313.11213	2	2	2	1	2
1313.11217	2	2	2	1	2
1313.11218	2	2	2	1	2
1313.11219	2	2	2	1	2
1313.11220	2	2	2	1	2
1313.11223	2	2	2	1	2
1313.11224	2	2	2	1	2
1313.11225	2	2	2	1	2
1313.11226	2	2	2	1	2
1313.11228	2	2	2	1	2
1313.11231	2	2	2	1	2
1313.11232	2	2	2	1	2
1313.11233	2	2	2	1	2
1313.11234	2	2	2	1	2
1313.11237	2	2	2	1	2
1313.11238	2	2	2	1	2
1313.11240	2	2	2	1	2
1313.11243	2	2	2	1	2
1313.11244	2	2	2	1	2
1313.11245	2	2	2	1	2
1313.11246	2	2	2	1	2
1313.11247	2	2	2	1	2
1313.11249	2	2	2	1	2
1313.11250	2	2	2	1	2
1313.11251	2	2	2	1	2
1313.11252	2	2	2	1	2
1313.11253	2	2	2	1	2
1313.11254	2	2	2	1	2
1313.11255	2	2	2	1	2
1313.11257	2	2	2	1	2
1313.11258	2	2	2	1	2
1313.11259	2	2	2	1	2
1313.11260	2	2	2	1	2
1313.11261	2	2	2	1	2
1313.11262	2	2	2	1	2
1313.11263	2	2	2	1	2
1313.11264	2	2	2	1	2
1313.11266	2	2	2	1	2
1313.11267	2	2	2	1	2
1313.11268	2	2	2	1	2
1313.11269	2	2	2	1	2
1313.11271	2	2	2	1	2
1313.11272	2	2	2	1	2
1313.11273	2	2	2	1	2
1313.11276	2	2	2	1	2
1313.11278	2	2	2	1	2
1313.11279	2	2	2	1	2
1313.11280	2	2	2	1	2
1313.11281	2	2	2	1	2
1313.11282	2	2	2	1	2
1313.11284	2	2	2	1	2
1313.11286	2	2	2	1	2
1313.11288	2	2	2	1	2
1313.11289	2	2	2	1	2
1313.11290	2	2	2	1	2
1313.11293	2	2	2	1	2
1313.11294	2	2	2	1	2
1313.11295	2	2	2	1	2
1313.11297	2	2	2	1	2
1313.11299	2	2	2	1	2
1313.11300	2	2	2	1	2
1313.11306	2	2	2	1	2
1313.11307	2	2	2	1	2
1313.11308	2	2	2	1	2
1313.11309	2	2	2	1	2
1313.11311	2	2	2	1	2
1313.11312	2	2	2	1	2
1313.11314	2	2	2	1	2
1313.11316	2	2	2	1	2
1313.11317	2	2	2	1	2
1313.11318	2	2	2	1	2
1313.11319	2	2	2	1	2
1313.11320	2	2	2	1	2
1313.11322	2	2	2	1	2
1313.11324	2	2	2	1	2
1313.11325	2	2	2	1	2
1313.11326	2	2	2	1	2
1313.11327	2	2	2	1	2
1313.11329	2	2	2	1	2
1313.11330	2	2	2	1	2
1313.11331	2	2	2	1	2
1313.11333	2	2	2	1	2
1313.11335	2	2	2	1	2
1313.11337	2	2	2	1	2
1313.11338	2	2	2	1	2
1313.11339	2	2	2	1	2
1313.11341	2	2	2	1	2
1313.11342	2	2	2	1	2
1313.11343	2	2	2	1	2
1313.11344	2	2	2	1	2
1313.11345	2	2	2	1	2
1313.11346	2	2	2	1	2
1313.11347	2	2	2	1	2
1313.11349	2	2	2	1	2
1313.11350	2	2	2	1	2
1313.11351	2	2	2	1	2
1313.11352	2	2	2	1	2
1313.11353	2	2	2	1	2
1313.11355	2	2	2	1	2
1313.11357	2	2	2	1	2
1313.11358	2	2	2	1	2
1313.11359	2	2	2	1	2
1313.11360	2	2	2	1	2
1313.11361	2	2	2	1	2
1313.11362	2	2	2	1	2
1313.11363	2	2	2	1	2
1313.11364	2	2	2	1	2
1313.11365	2	2	2	1	2
1313.11366	2	2	2	1	2
1313.11367	2	2	2	1	2
1313.11368	2	2	2	1	2
1313.11369	2	2	2	1	2
1313.11371	2	2	2	1	2
1313.11372	2	2	2	1	2
1313.11374	2	2	2	1	2
1313.11375	2	2	2	1	2
1313.11376	2	2	2	1	2
1313.11378	2	2	2	1	2
1313.11379	2	2	2	1	2
1313.11381	2	2	2	1	2
1313.11382	2	2	2	1	2
1313.11383	2	2	2	1	2
1313.11384	2	2	2	1	2
1313.11385	2	2	2	1	2
1313.11387	2	2	2	1	2
1313.11388	2	2	2	1	2
1313.11389	2	2	2	1	2
1313.11390	2	2	2	1	2
1313.11391	2	2	2	1	2
1313.11392	2	2	2	1	2
1313.11394	2	2	2	1	2
1313.11395	2	2	2	1	2
1313.11396	2	2	2	1	2
1313.11397	2	2	2	1	2
1313.11398	2	2	2	1	2
1313.11399	2	2	2	1	2
1313.11402	2	2	2	1	2
1313.11404	2	2	2	1	2
1313.11406	2	2	2	1	2
1313.11407	2	2	2	1	2
1313.11410	2	2	2	1	2
1313.11414	2	2	2	1	2
1313.11415	2	2	2	1	2
1313.11416	2	2	2	1	2
1313.11419	2	2	2	1	2
1313.11421	2	2	2	1	2
1313.11422	2	2	2	1	2
1313.11423	2	2	2	1	2
1313.11424	2	2	2	1	2
1313.11426	2	2	2	1	2
1313.11427	2	2	2	1	2
1313.11428	2	2	2	1	2
1313.11429	2	2	2	1	2
1313.11431	2	2	2	1	2
1313.11432	2	2	2	1	2
1313.11433	2	2	2	1	2
1313.11436	2	2	2	1	2
1313.11437	2	2	2	1	2
1313.11438	2	2	2	1	2
1313.11439	2	2	2	1	2
1313.11440	2	2	2	1	2
1313.11442	2	2	2	1	2
1313.11443	2	2	2	1	2
1313.11445	2	2	2	1	2
1313.11448	2	2	2	1	2
1313.11449	2	2	2	1	2
1313.11450	2	2	2	1	2
1313.11452	2	2	2	1	2
1313.11455	2	2	2	1	2
