	tetracycline	trimethoprim_sulfamethoxazole	clindamycin	ciprofloxacin	methicillin	oxacillin	gentamicin	erythromycin	penicillin
1280.9335	1	1	1	1	2	2	1	1	2
1280.9336	1	1	1	1	2	2	1	1	2
1280.9337	1	1	1	1	2	2	1	1	2
1280.9340	1	1	1	1	2	2	1	1	2
1280.9341	1	1	1	1	2	2	1	1	2
1280.9343	1	1	1	1	2	2	1	1	2
1280.9344	1	1	1	1	2	2	1	1	2
1280.9346	1	1	1	1	2	2	1	1	2
1280.9347	1	0	1	1	2	2	0	1	2
1280.9348	1	1	1	1	2	2	1	1	2
1280.9351	1	1	1	1	2	2	1	1	2
1280.9352	1	1	1	1	2	2	1	1	2
1280.9353	1	1	1	1	2	2	1	1	2
1280.9354	1	1	1	1	2	2	1	1	2
1280.9356	1	1	1	1	2	2	1	1	2
1280.9358	1	1	1	1	2	2	1	1	2
1280.9359	1	1	1	1	2	2	1	1	2
1280.9360	1	1	1	1	2	2	1	1	2
1280.9361	1	1	1	1	2	2	1	1	2
1280.9362	1	1	1	1	2	2	1	1	2
1280.9363	1	1	1	1	2	2	1	1	2
1280.9364	1	1	1	1	2	2	1	1	2
1280.9367	1	1	1	1	2	2	1	1	2
1280.9368	1	0	1	1	2	2	1	1	2
1280.9369	1	1	1	1	2	2	1	1	2
1280.9370	1	1	1	1	2	2	1	1	2
1280.9371	1	1	1	1	2	2	1	1	2
1280.9372	1	1	1	1	2	2	1	1	2
1280.9373	1	1	1	1	2	2	1	1	2
1280.9374	1	0	1	1	2	2	1	1	2
1280.9375	1	1	1	1	2	2	1	1	2
1280.9376	1	1	1	1	2	2	1	1	2
1280.9377	1	1	1	1	2	2	1	1	2
1280.9378	1	1	1	1	2	2	1	1	2
1280.9379	1	0	1	0	2	2	1	1	2
1280.9380	1	1	1	1	2	2	1	1	2
1280.9381	1	1	1	1	2	2	1	1	2
1280.9382	1	1	1	1	2	2	1	1	2
1280.9383	1	0	1	1	2	2	1	1	2
1280.9384	1	0	1	1	2	2	1	1	2
1280.9385	1	1	1	1	2	2	1	1	2
1280.9386	1	0	1	0	2	2	1	1	2
1280.9387	1	1	1	2	2	2	1	1	2
1280.9388	1	0	1	1	2	2	1	1	2
1280.9398	1	0	1	1	2	2	1	1	2
1280.9399	1	0	1	1	2	2	1	1	2
1280.9400	1	0	1	1	2	2	1	1	2
1280.9401	1	1	1	1	2	2	1	1	2
1280.9402	1	1	1	1	2	2	1	1	2
1280.9403	1	1	1	1	2	2	1	1	2
1280.9404	1	1	1	1	2	2	1	1	2
1280.9405	1	1	1	1	2	2	1	1	2
1280.9406	1	0	1	0	2	2	1	1	2
1280.9407	1	0	1	0	2	2	1	1	2
1280.9427	1	2	2	0	0	2	0	0	1
1280.9428	1	2	2	0	0	2	0	0	1
1280.9737	1	2	2	0	0	2	0	0	1
1280.9761	1	2	2	0	0	2	0	0	0
1280.9763	1	2	2	0	0	2	0	0	1
1280.9767	1	2	2	0	0	2	0	0	1
1280.9793	1	2	2	1	1	2	0	1	1
1280.9803	1	2	2	1	1	2	0	0	1
1280.9809	1	2	2	0	0	2	0	0	1
1280.9810	1	2	2	0	0	2	0	0	1
1280.9831	1	2	2	1	1	2	0	1	1
1280.9832	1	2	2	1	1	2	0	0	1
1280.9848	1	2	2	0	0	2	0	0	0
1280.9857	1	2	2	0	0	2	0	0	1
1280.9858	1	2	2	0	0	2	0	0	1
1280.9861	1	2	2	0	0	2	0	0	1
1280.9891	1	2	0	0	0	2	0	0	1
1280.9897	1	2	1	0	1	2	0	1	1
1280.9917	1	2	0	1	1	2	0	1	1
1283.352	1	2	2	0	2	0	1	1	2
1283.371	1	2	2	1	2	1	1	0	2
1283.375	1	2	2	1	2	1	1	1	2
1283.377	1	2	2	1	2	1	1	1	2
1283.382	1	2	2	1	2	1	1	1	2
1283.383	1	2	2	1	2	1	0	1	2
1283.385	1	2	2	0	2	1	1	0	2
1283.386	1	2	2	0	2	1	1	0	2
1283.387	1	2	2	0	2	1	1	0	2
1283.389	1	2	2	0	2	1	1	1	2
1283.392	1	2	2	1	2	1	1	0	2
1283.396	1	2	2	0	2	1	1	1	2
1283.398	1	2	2	0	2	0	0	0	2
1283.402	1	2	2	1	2	1	1	1	2
1283.403	1	2	2	1	2	1	1	1	2
1283.404	1	2	2	0	2	1	1	0	2
1283.405	1	2	2	1	2	1	1	1	2
1283.406	1	2	2	1	2	1	1	1	2
1283.407	1	2	2	1	2	1	1	1	2
1283.408	1	2	2	0	2	0	0	0	2
1283.413	1	2	2	1	2	1	1	1	2
1283.415	1	2	2	1	2	1	0	0	2
1283.419	1	2	2	1	2	1	1	0	2
1283.421	1	2	2	1	2	1	0	0	2
1283.424	1	2	2	1	2	1	1	1	2
1283.425	1	2	2	1	2	1	1	1	2
1283.426	1	2	2	0	2	1	1	0	2
1283.429	1	2	2	0	2	1	1	1	2
1283.430	1	2	2	1	2	1	1	1	2
1283.436	1	2	2	1	2	1	1	1	2
1283.437	1	2	2	1	2	1	1	1	2
1283.438	1	2	2	0	2	1	1	1	2
1283.441	1	2	2	1	2	1	1	1	2
1283.444	1	2	2	1	2	1	1	1	2
1283.453	1	2	2	1	2	1	1	1	2
1283.468	1	2	2	1	2	1	1	1	2
1283.474	1	2	2	1	2	1	1	1	2
904784.3	1	1	1	0	2	1	1	1	2
904787.3	1	1	1	1	2	1	1	1	2
1280.10000	0	2	2	1	1	2	0	1	1
1280.10001	0	2	2	0	0	2	0	0	1
1280.10002	0	2	2	0	0	2	0	0	0
1280.10003	0	2	2	0	0	2	0	0	1
1280.10004	0	2	2	0	0	2	0	0	1
1280.10005	0	2	2	0	0	2	0	0	1
1280.10006	0	2	2	0	0	2	0	0	0
1280.10007	0	2	2	1	1	2	0	0	1
1280.10008	0	2	2	0	0	2	0	0	1
1280.10009	0	2	2	0	0	2	0	1	1
1280.10010	0	2	2	0	0	2	0	0	0
1280.10011	0	2	2	0	0	2	0	0	1
1280.10012	0	2	2	0	0	2	0	0	0
1280.10013	0	2	2	0	0	2	0	0	0
1280.10014	0	2	2	0	0	2	0	0	1
1280.10015	0	2	2	0	0	2	0	0	0
1280.10016	0	2	2	0	0	2	0	0	1
1280.10017	0	2	2	0	0	2	0	0	1
1280.10020	0	2	2	1	0	2	0	0	1
1280.10021	0	2	2	0	0	2	0	0	1
1280.10022	0	2	2	0	0	2	0	0	1
1280.10023	0	2	2	0	0	2	0	0	0
1280.10024	0	2	2	0	0	2	0	0	0
1280.10025	0	2	2	0	0	2	0	0	1
1280.10026	0	2	2	0	0	2	0	0	0
1280.10027	0	2	2	0	0	2	0	0	1
