	ceftazidime	levofloxacin	tetracycline	cefazolin	gentamicin	trimethoprim_sulfamethoxazole	ceftriaxone	amikacin	aztreonam	piperacillin_tazobactam	meropenem	cefepime	imipenem	cefoxitin	ciprofloxacin	ertapenem	tobramycin
1438723.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438724.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438725.3	1	1	2	1	1	1	2	2	2	2	1	2	1	1	1	1	2
1438726.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438727.3	1	0	2	1	0	0	2	0	2	2	1	2	1	1	1	1	2
1438728.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438729.3	1	1	2	1	0	1	2	2	2	2	1	2	1	1	1	1	2
1438730.3	1	1	2	1	1	0	2	0	2	2	1	2	1	1	1	1	2
1438731.3	1	1	2	1	0	1	2	2	2	2	1	2	1	1	1	1	2
1438732.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438733.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438734.3	1	1	2	1	1	1	2	1	2	2	1	2	1	1	1	1	2
1438735.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438736.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438737.3	1	1	2	1	0	1	2	2	2	2	1	2	1	1	1	1	2
1438738.3	1	1	2	1	1	1	2	1	2	2	1	2	1	1	1	1	2
1438739.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438740.3	1	1	2	1	2	1	2	1	2	2	1	2	1	1	1	1	2
1438741.3	1	1	2	1	2	1	2	1	2	2	1	2	1	1	1	1	2
1438742.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438743.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438744.3	1	1	2	1	1	1	2	2	2	2	1	2	1	1	1	1	2
1438745.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438746.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438747.3	1	1	2	1	1	1	2	2	2	2	1	2	1	1	1	1	2
1438748.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438749.3	1	1	2	1	2	1	2	0	2	2	1	2	1	1	1	1	2
1438750.3	1	1	2	1	2	1	2	1	2	2	1	2	1	1	1	1	2
1438751.3	1	1	2	1	2	1	2	1	2	2	1	2	1	1	1	1	2
1438752.3	1	1	2	1	1	1	2	2	2	2	1	2	1	1	1	1	2
1438753.3	1	1	2	1	2	1	2	1	2	2	1	2	1	1	1	1	2
1438754.3	1	0	2	1	1	1	2	0	2	2	1	2	1	1	1	1	2
1438755.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438756.3	1	1	2	1	2	1	2	0	2	2	1	2	1	1	1	1	2
1438757.3	1	1	2	1	1	1	2	1	2	2	1	2	1	1	1	1	2
1438758.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438759.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438760.3	1	1	2	1	2	1	2	1	2	2	1	2	1	1	1	1	2
1438761.3	1	1	2	1	2	1	2	1	2	2	1	2	1	1	1	1	2
1438762.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438763.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438764.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438765.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438766.3	1	1	2	1	1	1	2	0	2	2	1	2	1	1	1	1	2
1438767.3	1	1	2	1	0	1	2	0	2	2	1	2	1	1	1	1	2
1438768.3	1	1	2	1	2	1	2	1	2	2	1	2	1	1	1	1	2
1438769.3	1	1	2	1	2	1	2	0	2	2	1	2	1	1	1	1	2
1438770.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438771.3	1	1	2	1	2	1	2	0	2	2	1	2	1	1	1	1	2
1438772.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438773.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438774.3	1	1	2	1	1	1	2	2	2	2	1	2	1	1	1	1	2
1438775.3	1	1	2	1	1	1	2	1	2	2	1	2	1	1	1	1	2
1438776.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438777.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1438778.3	1	1	2	1	0	1	2	2	2	2	1	2	1	1	1	1	2
1438779.3	1	1	2	1	1	1	2	2	2	2	1	2	1	1	1	1	2
1438780.3	1	1	2	1	0	1	2	1	2	2	1	2	1	1	1	1	2
1438781.3	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2
1463165.28	1	2	2	1	1	1	1	1	2	2	2	1	2	2	2	2	2
548.321	1	1	1	1	0	1	1	0	1	2	0	0	0	1	2	2	0
548.323	1	0	0	1	0	0	1	0	1	2	0	1	0	1	0	0	0
548.324	1	0	0	1	1	0	1	0	1	1	2	1	2	1	0	1	1
548.495	1	2	1	2	0	1	1	1	2	1	1	1	2	1	1	2	2
548.497	1	0	2	1	0	0	1	0	1	2	1	0	1	1	0	1	0
548.499	1	0	1	1	0	0	1	0	1	1	1	0	1	1	0	1	0
548.500	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	1	0
548.501	1	0	1	1	0	0	1	0	1	1	2	0	1	1	1	1	0
548.502	1	0	1	1	0	0	1	0	1	2	0	0	2	1	0	1	0
548.503	1	0	0	1	0	1	1	0	1	2	1	0	1	1	0	1	0
548.505	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0
548.506	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0
548.507	1	0	0	1	0	0	1	0	1	2	2	0	1	1	2	1	0
548.508	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0
548.509	1	0	0	1	0	1	1	0	1	2	0	0	2	1	0	0	0
548.510	1	0	1	1	0	1	1	0	1	0	0	1	2	1	2	0	1
548.511	1	0	0	1	0	0	1	0	1	2	0	0	0	1	2	0	0
548.512	1	0	0	1	0	0	1	0	2	2	0	0	0	1	0	0	0
548.513	1	0	0	1	0	0	1	0	1	2	0	0	0	1	0	0	0
548.514	1	0	0	1	0	0	1	0	1	2	0	0	0	1	0	0	0
548.516	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	2	0
548.517	1	0	0	1	0	0	1	0	1	2	0	0	0	1	0	0	0
548.518	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0
548.519	1	0	0	1	0	0	1	0	1	2	0	0	2	1	0	0	0
548.520	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	2	0
548.521	1	0	0	1	0	0	1	0	2	2	0	0	0	1	0	0	0
548.522	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0
548.523	1	0	0	1	0	0	1	0	2	2	0	0	0	1	0	0	0
548.524	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0
548.525	1	0	0	1	0	0	1	0	2	2	0	0	0	1	0	0	0
548.526	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0
548.527	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0
548.528	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0
548.529	1	0	0	1	0	0	1	0	2	2	0	0	0	1	0	0	0
548.531	1	0	0	1	0	0	1	0	1	2	0	0	0	1	0	0	0
548.532	1	0	0	1	0	0	1	0	1	2	0	0	0	1	0	0	0
548.533	1	0	0	1	2	0	1	0	1	1	1	1	1	1	0	1	1
548.534	1	0	0	1	0	0	1	0	1	2	0	0	0	1	0	0	0
548.536	1	0	0	1	0	0	1	0	1	2	0	0	0	1	0	0	0
548.537	1	0	0	1	0	0	1	0	1	2	0	0	0	1	0	0	0
548.539	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	2	0
548.540	1	0	0	1	0	0	1	0	1	2	0	0	0	1	0	0	0
548.541	1	0	0	1	0	0	1	0	1	2	0	0	0	1	0	0	0
548.542	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0
548.543	1	0	2	1	0	0	1	0	1	1	0	0	0	1	0	0	0
548.544	1	0	0	1	0	0	1	0	1	1	2	2	1	1	0	1	0
548.545	1	0	0	1	2	0	1	0	1	2	0	0	0	1	0	1	2
548.546	1	0	0	1	0	0	1	0	1	2	0	0	2	1	0	1	0
571.446	1	0	0	2	0	0	1	0	2	1	0	0	2	0	0	0	0
573.12771	1	0	0	1	0	1	1	0	1	2	1	1	1	1	0	1	2
573.12772	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1
573.12773	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
573.12777	1	1	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1
573.12778	1	1	0	1	1	1	1	2	1	2	1	1	1	1	1	1	1
573.12779	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
573.12780	1	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1
573.12781	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1
573.12782	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
573.12783	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
573.12796	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
573.12858	1	0	1	1	1	1	1	0	1	1	0	1	0	0	1	2	1
573.12859	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0
573.12860	1	1	0	1	0	1	1	2	1	1	0	1	0	2	1	2	1
573.12862	1	1	0	1	0	1	1	2	1	0	0	0	0	0	1	2	1
573.12864	1	1	2	1	2	0	1	0	1	1	1	2	1	1	1	2	1
573.12867	1	1	2	1	0	0	1	0	1	1	1	1	1	1	1	2	0
573.12869	1	0	1	1	0	1	1	0	1	1	0	1	0	0	1	2	1
573.12870	1	1	0	1	0	1	1	0	1	2	2	1	0	2	1	2	1
573.12874	1	1	1	1	0	0	1	0	1	0	0	0	0	1	1	2	2
573.12876	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	2	1
573.12877	1	1	1	1	1	1	1	0	1	2	2	2	0	2	1	2	1
573.12878	1	1	0	1	0	1	1	0	1	1	0	1	0	1	1	2	0
573.12879	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	2	1
573.12880	1	1	0	1	1	0	1	0	1	1	1	2	1	1	1	2	1
573.12884	1	1	0	1	2	0	1	0	1	1	0	1	0	1	1	2	1
573.12887	1	1	1	1	1	1	1	2	1	1	0	1	0	2	1	2	1
573.12888	1	1	0	1	1	0	1	2	1	1	0	2	0	2	1	2	1
573.12891	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	2	1
573.12893	1	1	0	1	1	1	1	0	1	1	0	1	0	0	1	2	2
573.12894	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	2	2
573.12895	1	0	0	1	2	0	2	0	1	0	0	0	0	0	2	2	2
573.12896	1	1	1	1	2	0	1	0	1	0	0	0	0	1	1	2	2
573.12897	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	2	2
573.12898	1	1	1	1	1	1	1	0	1	1	0	2	0	0	1	2	1
573.12899	1	0	1	1	1	1	1	0	1	0	0	1	0	0	2	2	1
573.12905	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	2	0
573.12909	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	2	2
573.12910	1	0	1	1	0	0	0	0	0	1	0	0	0	2	0	2	0
573.12911	1	0	0	1	2	0	2	0	2	0	0	0	0	0	2	2	2
573.12913	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	2	0
573.12914	1	0	1	1	1	1	1	0	1	2	0	1	0	0	1	2	1
573.12916	1	2	0	1	2	1	2	0	1	0	0	0	0	0	1	2	2
573.12918	1	1	0	1	0	1	1	0	1	0	0	1	0	0	1	2	2
573.12919	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	2	0
573.12920	1	1	0	1	0	1	1	2	1	1	0	1	0	2	1	2	1
573.12924	1	0	0	1	2	0	1	0	1	1	0	1	0	1	2	2	2
573.12931	1	1	0	1	1	0	1	0	1	0	0	0	0	0	1	2	1
573.12932	1	1	0	1	1	1	1	0	2	1	0	2	0	0	1	2	2
573.12936	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	2	1
573.12938	1	0	1	1	1	1	1	0	1	2	0	1	0	0	1	2	1
573.12942	1	2	2	1	2	0	1	0	1	0	0	0	0	2	1	2	2
573.12944	1	0	0	1	1	1	1	0	1	2	0	1	0	0	1	2	2
573.12945	1	1	1	1	2	0	1	0	1	0	0	0	0	1	1	2	2
573.12947	1	1	1	1	1	1	1	0	2	1	0	1	0	0	1	2	1
573.12949	1	0	1	1	1	1	1	0	1	0	0	1	0	0	1	2	1
573.12952	1	0	1	1	1	1	1	0	1	1	0	1	0	0	1	2	1
573.12953	1	1	1	1	0	1	1	0	1	2	0	1	0	0	1	2	0
573.12954	1	0	1	1	0	1	1	0	1	1	0	1	0	1	0	2	0
573.12956	1	1	1	1	1	1	1	0	1	0	0	1	0	2	1	2	1
573.12957	1	1	0	1	0	0	1	0	1	0	0	1	0	0	1	2	0
573.12958	1	1	0	1	0	1	1	0	1	1	0	2	0	0	1	2	0
573.12959	1	0	1	1	1	0	1	1	1	0	1	2	2	1	0	2	1
573.12963	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
573.12964	1	1	1	1	2	0	1	0	1	0	0	0	0	1	1	2	2
573.12966	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	2	0
573.12969	1	2	0	1	1	1	1	0	1	2	0	1	0	0	1	2	1
573.12970	1	1	1	1	0	0	1	0	1	2	0	2	0	2	1	2	0
573.12971	1	0	1	1	1	1	1	0	1	2	0	1	0	0	1	2	1
573.12972	1	0	1	1	1	1	1	0	1	0	0	1	0	0	1	2	1
573.12973	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1	2	2
573.12974	1	0	1	1	0	1	1	0	1	0	0	1	0	0	2	2	2
573.12975	1	1	2	1	1	1	1	0	1	0	0	1	2	0	1	2	2
573.12976	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	2	1
573.12977	1	1	1	1	1	1	1	0	1	2	0	1	0	1	1	2	2
573.12979	1	0	1	1	0	1	1	0	2	0	0	2	0	0	0	2	2
573.1719	1	1	2	2	0	2	2	1	1	2	1	2	1	2	1	1	1
573.12981	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	2	1
573.12982	1	1	0	1	0	1	1	0	1	0	0	1	0	0	1	2	1
573.12987	1	0	1	1	1	1	1	0	1	1	0	1	0	0	1	2	1
573.12988	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	2	0
573.12990	1	1	1	1	0	1	1	2	1	1	0	1	0	0	1	2	1
573.12992	1	0	0	1	1	1	1	0	1	2	0	1	0	0	1	2	1
573.12994	1	1	1	1	1	1	1	0	1	2	0	1	0	0	1	2	1
573.12999	1	0	1	1	1	1	1	0	1	0	0	1	0	0	1	2	1
573.13001	1	0	1	1	1	1	1	0	1	2	0	1	0	0	1	2	1
573.13007	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	2	2
573.13008	1	1	1	1	1	1	1	0	1	2	0	1	0	1	1	2	2
573.13010	1	1	2	1	0	1	1	0	1	1	1	1	1	1	1	2	0
573.13011	1	1	0	1	0	0	1	0	1	1	1	1	1	1	1	2	1
573.13012	1	0	0	1	2	0	2	0	1	0	0	0	0	0	2	2	2
573.13014	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	2	1
573.13016	1	1	1	1	1	1	1	0	1	0	0	1	0	2	1	2	1
