ARO Accession	CVTERM ID	ARO Name	PMID	DOI	ISBN
ARO:3003370	39954	Escherichia coli EF-Tu mutants conferring resistance to Enacyloxin IIa	10610785
ARO:3002427	38827	OKP-A-10	16304190
ARO:3003094	39647	imiH	12746371
ARO:3003095	39648	imiS	9527802
ARO:3003096	39649	CfxA5	24606061
ARO:3003097	39650	CfxA6	19713526
ARO:3002537	38937	AAC(3)-IIIb	20387903
ARO:3000206	36345	emrK	12501312
ARO:3003001	39435	CfxA	8517690
ARO:3000765	37145	antibiotic sensitive embB	18174142
ARO:3003002	39436	CfxA2	11451705
ARO:3002403	38803	OXY-2-8	12019142
ARO:3000053	36192	peptide antibiotic	10348745;18065456
ARO:3000054	36193	acridine dye	11152426
ARO:3003283	39867	Mycobacterium tuberculosis rpoB with mutations conferring resistance to rifampicin	;35944069;30337678;31100498;8095569;28904673;19520715;18653964;17970586;7840574;10074552;7914261;15728936;11474030;18600483;15814606;10921994;9003625;18294243;19721079;11796356;8027320;15184414;19547874;10423225;12454132;8870258;10722516;10645439;17360809;25427352;22708343;21300839;11136757;17108078;15047531		978-92-4-008241-0
ARO:3003013	39447	dfrA15	16980697
ARO:3003284	39868	Mycobacterium leprae rpoB mutations conferring resistance to rifampicin	15603834
ARO:3003287	39871	Staphylococcus aureus rpoB mutants conferring resistance to daptomycin	20837752;16723576
ARO:3000076	36215	class C beta-lactamase	19822890
ARO:3000077	36216	vanY	24711382;16323116
ARO:3000079	36218	oxazolidinone antibiotic	18757750
ARO:3000094	36233	OCH beta-lactamase	11451692
ARO:3000097	36236	LEN beta-lactamase	15215087
ARO:3000098	36237	PDC beta-lactamase	19258272
ARO:3002431	38831	OKP-A-14	22143810
ARO:3000650	36994	cefdinir	8026155
ARO:3000651	36995	ceftaroline	27721280;21467022;18827379
ARO:3000665	37009	grepafloxacin	15992094;18159374
ARO:3002435	38835	OKP-B-2	16304190
ARO:3002753	39187	QnrB38	21844311
ARO:3000186	36325	tet(M)	19475445
ARO:3000188	36327	trimethoprim	11432417;18024520
ARO:3000190	36329	tet(O)	9848445;2841293
ARO:3000191	36330	tet(Q)	9372425;20826220
ARO:3000408	36547	determinant of sulfonamide resistance	12604565;11432417
ARO:3003014	39448	dfrA16	17233727
ARO:3002757	39191	QnrB42	22850691
ARO:0000007	35926	dibekacin	11083623;8385262;10103173
ARO:0000008	35927	cefoxitin	3487346;11585791;15673804
ARO:0000073	35990	meropenem	18416587
ARO:0000074	35991	moxifloxacin	10193688;11858629
ARO:3000721	37101	cell wall component targeted by antibiotic	4568761
ARO:3000722	37102	cycloserine sensitive alr	4555420;19748470
ARO:3000724	37104	fosfomycin sensitive pyruvyl transferase (murA)	4605290
ARO:3000726	37106	pentaglycyl bridge	18258256
ARO:3000727	37107	50S ribosomal subunit	10445875;16257828
