	isoniazid	rifampin	ethambutol	pyrazinamide	amikacin	capreomycin	ethionamide	kanamycin	ofloxacin	para_aminosalicylic_acid	streptomycin	moxifloxacin	prothionamide	cycloserine	rifabutin	pyrazinamide_nicotinamide	nicotinamide
GCA_001376935.1	1	1	0	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001322125.1	1	1	0	0	1	0	2	2	1	2	1	0	0	2	2	2	2
GCA_001322265.1	1	1	0	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001377655.1	1	1	1	0	0	1	2	2	1	2	1	2	1	2	2	2	2
GCA_001378415.1	1	1	1	0	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001378195.1	1	1	0	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001377715.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001377995.1	1	1	1	1	0	0	2	2	0	2	1	1	1	2	2	2	2
GCA_001322425.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001376715.1	1	1	1	1	0	0	2	2	1	2	1	0	0	2	2	2	2
GCA_001376535.1	1	1	1	0	0	0	2	2	1	2	1	0	0	2	2	2	2
GCA_001376275.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001376135.1	1	1	1	0	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001375715.1	1	1	1	0	0	0	2	2	0	2	1	1	1	2	2	2	2
GCA_001376155.1	1	0	1	0	0	1	2	2	0	2	1	0	0	2	2	2	2
GCA_001377295.1	1	1	1	0	1	1	2	2	0	2	1	0	1	2	2	2	2
GCA_001377455.1	1	1	1	0	0	1	2	2	1	2	1	1	1	2	2	2	2
GCA_001377415.1	1	1	0	0	0	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001377555.1	1	1	0	1	1	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001376695.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001377375.1	1	0	1	1	1	1	2	2	0	2	1	0	1	2	2	2	2
GCA_001377515.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001321905.1	1	1	0	0	0	0	2	2	0	2	1	0	2	2	2	2	2
GCA_001376395.1	1	1	0	0	0	0	2	2	1	2	1	0	0	2	2	2	2
GCA_001376235.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001377055.1	1	1	0	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001377595.1	1	1	1	1	0	0	2	2	1	2	1	1	0	2	2	2	2
GCA_001322685.1	1	1	0	0	1	1	2	2	1	2	1	1	0	2	2	2	2
GCA_001377935.1	1	1	1	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001322325.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001377635.1	1	1	0	0	0	1	2	2	1	2	0	2	1	2	2	2	2
GCA_001322225.1	1	1	0	0	0	1	2	2	1	2	0	2	0	2	2	2	2
GCA_001376975.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001384235.1	1	1	1	0	0	1	2	2	1	2	1	1	1	2	2	2	2
GCA_001384375.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001384995.1	1	1	0	1	0	0	2	2	1	2	0	1	0	2	2	2	2
GCA_001385295.1	1	0	0	1	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001384955.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001384855.1	1	1	1	0	0	0	2	2	1	2	1	0	0	2	2	2	2
GCA_001383475.1	1	1	1	0	1	1	2	2	0	2	1	0	0	2	2	2	2
GCA_001323805.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001381895.1	1	1	0	1	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001382155.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001381675.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001385075.1	1	1	1	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001384515.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001384075.1	1	1	1	1	0	0	2	2	1	2	1	0	0	2	2	2	2
GCA_001383835.1	1	1	1	1	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001383555.1	1	1	0	1	0	0	2	2	1	2	1	1	0	2	2	2	2
GCA_001383135.1	1	0	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001380555.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001379135.1	1	1	1	1	0	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001379755.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001379895.1	1	1	1	0	0	0	2	2	1	2	1	1	1	2	2	2	2
