	isoniazid	rifampin	ethambutol	pyrazinamide	amikacin	capreomycin	ethionamide	kanamycin	ofloxacin	para_aminosalicylic_acid	streptomycin	moxifloxacin	prothionamide	cycloserine	rifabutin	pyrazinamide_nicotinamide	nicotinamide
GCA_001379855.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001379955.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001380055.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001380135.1	1	1	1	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001323125.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001322705.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001378435.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001378595.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001381215.1	1	0	1	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001381015.1	1	1	1	0	0	0	2	2	1	2	1	0	1	2	2	2	2
GCA_001323345.1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	2	2
GCA_001380595.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001380495.1	1	1	1	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001380815.1	1	1	1	0	0	0	2	2	0	2	1	1	1	2	2	2	2
GCA_001380775.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001379335.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001379515.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001379735.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001379815.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001323005.1	1	1	0	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001382375.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001382795.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001323725.1	1	1	0	0	0	0	2	2	1	2	1	1	0	2	2	2	2
GCA_001383355.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001323585.1	1	1	1	1	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001382095.1	1	0	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001381635.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001381515.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001381855.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001323405.1	1	1	1	0	1	0	2	2	1	2	1	1	0	2	2	2	2
GCA_001379275.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001384655.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001324085.1	1	1	1	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001384295.1	1	0	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001386095.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001324325.1	1	1	0	0	0	0	2	2	1	2	0	1	0	2	2	2	2
GCA_001381575.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001381755.1	1	1	1	0	0	0	2	2	0	2	0	0	1	2	2	2	2
GCA_001381835.1	1	1	1	1	0	1	2	2	1	2	1	0	0	2	2	2	2
GCA_001382055.1	1	1	1	1	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001382015.1	1	1	0	0	0	0	2	2	1	2	1	1	0	2	2	2	2
GCA_001382115.1	1	1	1	0	0	1	2	2	0	2	1	0	1	2	2	2	2
GCA_001385555.1	1	1	0	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001379015.1	1	0	1	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001378915.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001379535.1	1	1	1	0	0	1	2	2	0	2	1	0	1	2	2	2	2
GCA_001322885.1	1	1	1	0	1	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001379175.1	1	1	1	0	0	0	2	2	0	2	1	1	0	2	2	2	2
GCA_001381735.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001323425.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001381455.1	1	1	1	1	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001386215.1	1	1	0	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001324365.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001386395.1	1	1	0	1	1	1	2	2	0	2	1	0	1	2	2	2	2
GCA_001386275.1	1	1	0	1	1	0	2	2	1	2	1	1	0	2	2	2	2
GCA_001386295.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001386515.1	1	1	1	0	1	1	2	2	1	2	1	1	1	2	2	2	2
GCA_001386555.1	1	1	1	1	0	0	2	2	1	2	1	1	0	2	2	2	2
GCA_001324485.1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	2	2
GCA_001386595.1	1	0	1	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001386575.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001324685.1	1	1	0	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001386615.1	1	1	0	0	0	0	2	2	0	2	0	0	1	2	2	2	2
GCA_001386635.1	1	1	0	0	1	0	2	2	1	2	1	2	0	2	2	2	2
GCA_001386675.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001386435.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001386455.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001386335.1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	2	2
GCA_001387375.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001325505.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001389395.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001389595.1	1	0	1	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001389115.1	1	1	0	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001389155.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001390135.1	1	1	1	1	0	1	2	2	0	2	1	1	0	2	2	2	2
GCA_001391235.1	1	1	0	0	0	0	2	2	0	2	0	1	0	2	2	2	2
GCA_001391075.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001388355.1	1	1	1	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001325145.1	1	0	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001388635.1	1	1	0	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001325265.1	1	1	0	0	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001325885.1	1	1	0	1	0	0	2	2	1	2	1	0	1	2	2	2	2
GCA_001325845.1	1	1	0	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001391095.1	1	1	1	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001390935.1	1	1	1	0	0	0	2	2	0	2	0	1	0	2	2	2	2
GCA_001390895.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001324965.1	1	1	0	0	0	0	2	2	0	2	0	1	1	2	2	2	2
GCA_001387795.1	1	1	0	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001388115.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001388155.1	1	1	0	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001390235.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001390155.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001390075.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001389955.1	1	1	0	0	0	1	2	2	0	2	1	0	1	2	2	2	2
GCA_001387095.1	1	1	1	1	0	0	2	2	0	2	1	1	1	2	2	2	2
GCA_001387055.1	1	1	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001324725.1	1	1	1	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001386975.1	1	0	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001386835.1	1	1	0	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001387555.1	1	1	0	1	0	0	2	2	0	2	0	0	1	2	2	2	2
GCA_001387455.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001388495.1	1	1	0	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001388695.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001388775.1	1	1	1	1	0	1	2	2	1	2	1	1	0	2	2	2	2
GCA_001387255.1	1	1	1	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001387035.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001387015.1	1	1	1	0	0	0	2	2	1	2	1	1	0	2	2	2	2
GCA_001387075.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001386815.1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	2	2
GCA_001386715.1	1	1	0	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001390035.1	1	1	1	0	0	0	2	2	0	2	1	1	1	2	2	2	2
GCA_001389635.1	1	1	1	0	0	0	2	2	0	2	1	1	0	2	2	2	2
GCA_001387895.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001387995.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001388055.1	1	1	1	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001388175.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001388235.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001325185.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001324825.1	1	1	0	1	0	0	2	2	0	2	0	0	1	2	2	2	2
GCA_001387415.1	1	1	1	1	0	1	2	2	1	2	1	1	1	2	2	2	2
GCA_001391315.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001391135.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001325785.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001325825.1	1	1	1	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001325945.1	1	1	0	0	0	0	2	2	0	2	1	1	0	2	2	2	2
GCA_001388295.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001387815.1	1	1	0	0	0	0	2	2	1	2	0	1	1	2	2	2	2
GCA_001325025.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001325685.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001390215.1	1	1	1	0	0	0	2	2	0	2	1	1	1	2	2	2	2
GCA_001389775.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001390055.1	1	1	0	0	0	0	2	2	1	2	1	1	0	2	2	2	2
GCA_001390595.1	1	0	1	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001390735.1	1	1	1	0	0	0	2	2	1	2	1	1	0	2	2	2	2
GCA_001390815.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001390355.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001390435.1	1	0	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001390495.1	1	1	1	0	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001325805.1	1	1	0	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001388875.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001388595.1	1	1	1	0	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001325165.1	1	1	1	0	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001326025.1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	2	2
GCA_001391155.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001325485.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001389135.1	1	1	0	0	0	0	2	2	0	2	1	1	0	2	2	2	2
GCA_001389575.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001325225.1	1	1	1	1	1	1	2	2	0	2	1	0	1	2	2	2	2
GCA_001388655.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001388795.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001388855.1	1	1	0	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001388935.1	1	1	1	0	0	0	2	2	0	2	0	0	1	2	2	2	2
GCA_001388975.1	1	0	1	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001390575.1	1	1	0	0	0	0	2	2	0	2	1	1	1	2	2	2	2
GCA_001390475.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001325745.1	1	1	1	0	1	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001390315.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001325765.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001324805.1	1	1	1	0	0	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001387395.1	1	1	1	0	0	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001387215.1	1	1	1	0	0	1	2	2	1	2	1	1	0	2	2	2	2
GCA_001387695.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001387595.1	1	1	0	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001326095.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001325445.1	1	1	0	0	0	0	2	2	1	2	1	2	0	2	2	2	2
GCA_001325525.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001389415.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001389455.1	1	1	0	0	0	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001388755.1	1	1	0	0	0	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001388435.1	1	0	0	1	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001388575.1	1	1	1	0	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001389035.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001391015.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001390915.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001391295.1	1	1	1	0	0	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001391115.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001389295.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001389015.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001388455.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001388815.1	1	1	0	0	1	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001325325.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001325105.1	1	1	1	1	0	1	2	2	1	2	1	1	0	2	2	2	2
GCA_001391275.1	1	1	0	1	0	0	2	2	0	2	1	0	2	2	2	2	2
GCA_001391215.1	1	1	0	0	0	1	2	2	0	2	1	0	0	2	2	2	2
GCA_001391255.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001391175.1	1	1	0	0	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001325545.1	1	1	0	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001389435.1	1	1	1	0	0	1	2	2	0	2	1	0	0	2	2	2	2
GCA_001389255.1	1	0	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001389095.1	1	1	1	1	1	1	2	2	1	2	1	2	0	2	2	2	2
GCA_001389175.1	1	1	0	0	0	0	2	2	0	2	1	0	2	2	2	2	2
GCA_001387295.1	1	0	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001387495.1	1	1	0	0	0	0	2	2	0	2	1	1	1	2	2	2	2
GCA_001387735.1	1	1	1	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001324985.1	1	1	0	0	0	0	2	2	0	2	1	0	2	2	2	2	2
GCA_001324765.1	1	1	1	0	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001325865.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001389935.1	1	1	1	1	0	0	2	2	1	2	1	1	0	2	2	2	2
GCA_001389735.1	1	1	0	0	0	1	2	2	1	2	1	1	0	2	2	2	2
GCA_001324745.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001324925.1	1	1	0	0	0	0	2	2	0	2	1	0	2	2	2	2	2
GCA_001387615.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001387435.1	1	1	0	1	1	1	2	2	0	2	1	0	1	2	2	2	2
GCA_001387355.1	1	0	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001325605.1	1	1	0	0	0	0	2	2	1	2	1	1	0	2	2	2	2
GCA_001389915.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001389795.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001388015.1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	2	2
GCA_001325125.1	1	1	1	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001388275.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001388415.1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	2	2
GCA_001386935.1	1	0	1	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001387475.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001324945.1	1	1	1	1	0	0	2	2	1	2	1	0	0	2	2	2	2
GCA_001387235.1	1	1	0	1	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001387155.1	1	1	0	1	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001389975.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001389715.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001325005.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001388255.1	1	0	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001390255.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001390455.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001390555.1	1	0	0	1	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001390795.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001390715.1	1	0	0	1	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_000656055.1	1	1	1	2	1	1	0	1	1	1	1	2	2	1	2	2	2
GCA_000681235.1	1	1	1	1	1	1	1	1	0	0	1	2	2	0	2	2	2
GCA_000656275.1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	2	2	2
GCA_000681255.1	1	1	1	2	1	1	1	1	2	0	1	2	2	1	2	2	2
GCA_000655375.1	1	1	1	1	0	0	0	0	0	0	1	2	2	0	2	2	2
GCA_000655155.1	1	1	1	1	0	0	0	1	0	1	1	2	2	1	2	2	2
GCA_000655215.1	1	1	1	2	0	0	1	1	1	1	1	2	2	0	2	2	2
GCA_000655855.1	1	1	1	1	0	0	0	0	0	0	1	2	2	0	2	2	2
GCA_000656295.1	1	1	1	2	0	2	0	0	1	0	1	2	2	2	2	2	2
GCA_000656255.1	1	1	1	2	0	2	0	0	0	0	1	2	2	0	2	2	2
GCA_000656115.1	1	1	1	1	1	1	0	1	2	0	1	2	2	1	2	2	2
GCA_000681215.1	1	1	1	2	1	1	0	1	1	0	1	2	2	0	2	2	2
GCA_000655955.1	1	1	1	2	1	1	0	1	1	1	1	2	2	1	2	2	2
GCA_000655935.1	1	1	1	2	1	1	0	1	2	1	1	2	2	2	2	2	2
GCA_000655735.1	1	1	1	1	0	0	0	2	1	0	1	2	2	0	2	2	2
GCA_000655115.1	1	1	1	1	1	1	0	1	2	0	1	2	2	0	2	2	2
GCA_000681275.1	1	1	1	2	1	1	0	1	1	0	1	2	2	1	2	2	2
GCA_000656155.1	1	1	1	2	0	0	0	1	0	0	1	2	2	1	2	2	2
GCA_000655695.1	1	1	1	2	1	1	0	1	1	0	1	2	2	0	2	2	2
GCA_000656075.1	1	1	1	1	1	1	0	1	2	0	1	2	2	0	2	2	2
GCA_000655315.1	1	1	1	2	1	1	0	1	1	0	1	2	2	0	2	2	2
GCA_000655615.1	1	1	1	2	1	1	0	1	1	1	1	2	2	1	2	2	2
GCA_000656215.1	1	1	1	2	1	1	0	1	0	0	1	2	2	1	2	2	2
GCA_000658155.1	1	1	1	2	1	1	1	1	1	0	1	2	2	0	2	2	2
GCA_000655535.1	1	1	1	1	0	0	1	1	0	0	1	2	2	1	2	2	2
GCA_000681175.1	1	1	1	2	1	1	0	1	1	0	1	2	2	1	2	2	2
GCA_000655995.1	1	1	1	2	1	1	0	1	1	1	1	2	2	1	2	2	2
GCA_000655575.1	1	1	1	2	1	1	1	1	1	0	1	2	2	1	2	2	2
GCA_000655435.1	1	1	1	2	1	1	1	1	2	0	1	2	2	1	2	2	2
GCA_000655475.1	1	1	1	2	1	1	1	1	2	0	1	2	2	1	2	2	2
GCA_000655275.1	1	1	1	1	0	1	1	1	1	0	1	2	2	1	2	2	2
GCA_000655195.1	1	1	1	2	1	1	0	1	1	0	1	2	2	0	2	2	2
GCA_000656235.1	1	1	1	2	1	1	1	1	0	0	1	2	2	1	2	2	2
GCA_000656375.1	1	1	1	2	1	1	1	1	0	0	1	2	2	0	2	2	2
GCA_000655915.1	1	1	1	2	0	0	0	0	0	0	1	2	2	0	2	2	2
GCA_000681135.1	1	1	1	2	0	1	1	1	1	0	1	2	2	1	2	2	2
GCA_000655895.1	1	1	1	2	1	1	2	1	1	0	1	2	2	0	2	2	2
GCA_000655135.1	1	1	1	1	1	1	1	1	1	1	1	2	2	0	2	2	2
GCA_000681315.1	1	1	1	2	1	1	0	1	1	0	1	2	2	0	2	2	2
GCA_000658115.1	1	1	1	2	1	1	0	1	1	0	1	2	2	0	2	2	2
GCA_000680635.1	1	2	1	1	0	0	0	0	1	1	1	2	2	0	2	2	2
GCA_001381555.1	1	1	1	1	0	0	2	2	0	2	1	1	1	2	2	2	2
GCA_001383455.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001383215.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001382715.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001392695.1	1	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_001327595.1	1	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_001328155.1	1	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_001393475.1	1	1	0	0	0	0	2	2	2	2	1	2	2	2	2	2	2
GCA_001394515.1	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_001395875.1	1	1	1	1	0	0	2	2	2	2	0	2	2	2	2	2	2
GCA_001394995.1	1	1	1	1	0	0	2	2	2	2	2	2	2	2	2	2	2
GCA_001391655.1	1	1	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_001391355.1	1	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_001394235.1	1	1	0	2	0	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001395295.1	1	1	1	1	0	0	2	2	2	2	1	2	2	2	2	2	2
GCA_001394555.1	1	0	0	0	0	0	2	0	1	2	1	1	2	2	2	2	2
GCA_001394115.1	1	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_001394195.1	1	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_001394895.1	1	0	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_001393915.1	1	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_001392995.1	1	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_001395335.1	1	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_001345335.1	1	1	1	0	2	2	2	2	0	2	0	2	2	2	2	2	2
GCA_001345315.1	1	1	1	0	2	2	2	2	0	2	1	2	2	2	2	2	2
GCA_001099945.1	1	1	1	1	2	0	0	0	1	0	1	2	2	2	2	2	2
GCA_001345275.1	1	1	0	0	2	0	0	0	0	0	1	2	2	2	2	2	2
GCA_001345255.1	1	1	1	1	2	0	0	0	0	0	1	2	2	2	2	2	2
GCA_001121985.1	1	1	1	0	2	0	0	0	0	0	0	2	2	2	2	2	2
GCA_001106545.1	1	1	1	0	2	0	0	0	0	0	1	2	2	2	2	2	2
GCA_001345195.1	1	1	0	0	2	0	0	0	0	0	1	2	2	2	2	2	2
GCA_001345155.1	1	1	0	0	2	0	0	0	0	0	0	2	2	2	2	2	2
GCA_001345175.1	1	1	1	0	2	0	0	0	0	0	0	2	2	2	2	2	2
GCA_001345135.1	1	1	1	1	2	2	2	2	0	2	1	2	2	2	2	2	2
GCA_001105885.1	1	0	1	0	2	2	2	2	0	2	0	2	2	2	2	2	2
GCA_001110005.1	1	1	1	1	2	0	0	0	0	0	1	2	2	2	2	2	2
GCA_001090285.1	1	2	2	0	2	0	1	0	0	0	1	2	2	2	2	2	2
GCA_001163125.1	1	1	1	0	2	0	0	0	0	0	0	2	2	2	2	2	2
GCA_001345295.1	1	1	1	1	2	0	0	0	0	0	0	2	2	2	2	2	2
GCA_001133325.1	1	1	1	1	2	0	0	0	0	0	1	2	2	2	2	2	2
GCA_001119665.1	1	1	1	1	2	2	2	2	0	2	0	2	2	2	2	2	2
GCA_001128125.1	1	1	1	1	2	0	0	0	0	0	1	2	2	2	2	2	2
GCA_001121325.1	1	1	1	0	2	0	0	0	0	0	0	2	2	2	2	2	2
GCA_001149285.1	1	1	1	1	2	0	0	0	2	0	1	2	2	2	2	2	2
GCA_001328415.1	1	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_001140405.1	1	1	0	0	2	2	2	2	0	2	1	2	2	2	2	2	2
GCA_001126925.1	1	1	1	1	2	0	0	0	0	0	1	2	2	2	2	2	2
GCA_001345235.1	1	1	1	0	2	0	0	0	0	0	0	2	2	2	2	2	2
GCA_001345215.1	1	1	0	0	2	0	0	0	0	0	1	2	2	2	2	2	2
GCA_001172585.1	1	0	0	0	2	2	2	2	0	2	1	2	2	2	2	2	2
