	methicillin	clindamycin	erythromycin	penicillin	ciprofloxacin	gentamicin	tetracycline	cefoxitin	levofloxacin	oxacillin	trimethoprim_sulfamethoxazole	moxifloxacin	penicillin_clavulanic_acid
GCA_000640855.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640875.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640895.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640915.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640935.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684235.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640955.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684215.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640975.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640995.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641015.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641035.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641055.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641075.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641095.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641115.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641135.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641155.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641175.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641195.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641215.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641235.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641255.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641275.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641295.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684195.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641315.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641335.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641355.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641375.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641395.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684175.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641415.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684155.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641435.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641455.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641475.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641495.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641515.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684135.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641535.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641555.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684115.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641575.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641595.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641615.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641635.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641655.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641675.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641695.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641715.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684095.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641735.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684075.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641755.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684055.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641775.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641795.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684035.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641815.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641835.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684015.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683995.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683975.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641855.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641875.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641895.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641915.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641935.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641955.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641975.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000641995.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642015.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642035.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642055.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642075.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683955.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683935.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642095.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642115.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642135.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683915.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642155.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642175.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642195.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642215.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683895.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642235.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642255.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683875.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642275.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642295.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642315.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642335.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642355.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642375.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642395.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683855.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642415.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642435.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642455.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642475.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642495.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683835.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642515.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683815.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683795.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642535.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642555.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642575.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642595.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683775.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642615.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642635.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683755.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642655.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642675.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642695.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642715.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642735.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642755.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642775.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642795.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642815.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642835.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642855.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642875.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642895.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642915.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642935.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642955.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642975.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000642995.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643015.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643035.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643055.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643075.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643095.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643115.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643135.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643155.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643175.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683735.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643195.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643215.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643235.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643255.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683715.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643275.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643295.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683695.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643315.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643335.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643355.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643375.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683675.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643395.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643415.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643435.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643455.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643475.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643495.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643515.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643535.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643555.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643575.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683655.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643595.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643615.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643635.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643655.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643675.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643695.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643715.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683635.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643735.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643755.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643775.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643795.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643815.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643835.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643855.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643875.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683615.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683595.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643895.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683575.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643915.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643935.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683555.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643955.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643975.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683535.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000643995.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644015.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644035.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683515.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644055.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644075.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644095.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644115.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644135.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644155.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644175.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644195.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644215.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644235.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644255.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644275.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644295.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644315.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644335.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683495.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644355.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644375.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644395.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644415.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644435.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644455.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644475.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644495.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644515.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683475.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644535.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644555.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644575.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644595.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683455.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644615.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683435.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644635.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683415.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644655.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644675.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644695.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644715.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644735.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644755.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644775.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683395.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683375.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644795.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644815.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644835.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644855.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644875.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644895.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644915.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644935.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644955.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644975.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000644995.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000645015.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000645035.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000645055.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000645075.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000645095.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000645115.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000645135.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683355.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000645155.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683335.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000645175.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683315.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683295.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683275.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000645195.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000645215.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000645235.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000645255.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000645275.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683255.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000645315.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646175.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646195.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683055.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646215.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646235.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646255.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646275.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683035.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646295.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646315.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646335.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646355.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646375.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646395.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646415.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646435.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646455.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646475.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646495.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646515.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646535.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000683015.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646555.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646575.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646595.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646615.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646635.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646655.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646675.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000682995.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646695.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646715.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646735.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646755.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000682975.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646775.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646795.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646815.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646835.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646855.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646875.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646895.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646915.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000682955.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646935.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000682935.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646955.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646975.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000646995.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000647015.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000647035.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000682915.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000647055.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000647075.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000682895.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000647095.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000647115.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000647135.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000647155.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000682875.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_001267715.2	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_000010445.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_000009665.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_000013465.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_002887295.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_002887345.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011064185.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011060255.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011061385.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011060155.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_002259995.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011059425.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011063525.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011061735.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011060485.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011059355.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011060045.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_002267785.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011059325.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_002887375.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011061825.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011062115.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011061115.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011061665.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011063465.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011061685.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011777445.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011061435.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011061875.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011059285.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011061995.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011061965.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011061335.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_002268085.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_002268105.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_002268125.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_002268135.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_002268145.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_002267845.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011059585.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011061015.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011064035.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011060865.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011063345.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011060425.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011059945.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011061125.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011060015.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011060385.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011060205.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011059745.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011063995.1	1	0	0	2	0	0	0	2	2	0	0	2	2
GCA_011060035.1	1	0	0	2	0	0	0	2	2	0	0	2	2
