	methicillin	clindamycin	erythromycin	penicillin	ciprofloxacin	gentamicin	tetracycline	cefoxitin	levofloxacin	oxacillin	trimethoprim_sulfamethoxazole	moxifloxacin	penicillin_clavulanic_acid
GCA_015716285.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716305.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716325.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716265.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015602525.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716245.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716185.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015729125.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015729075.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015729135.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716995.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717015.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716925.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716985.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717125.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717065.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717045.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717095.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716945.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716955.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715705.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015602485.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715765.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715725.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715685.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715665.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715715.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715615.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715625.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015718005.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015718085.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717985.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717935.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015714825.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015714845.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015714995.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015714965.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015714925.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015714885.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015714935.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015714985.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015714895.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015712385.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717355.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015728605.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015728665.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715035.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715005.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015728495.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015728545.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015728575.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015728635.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715145.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715205.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715185.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715095.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715065.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715085.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715075.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015728465.1	1	2	2	2	2	2	2	2	2	2	2	2	2
