	cefixime	penicillin	azithromycin	ciprofloxacin	tetracycline	erythromycin
GCA_042078885.1	0	2	2	1	2	2
GCA_042543125.1	0	2	2	1	2	2
GCA_042106345.1	0	2	2	1	2	2
GCA_042112605.1	0	2	2	0	2	2
GCA_042127605.1	0	2	2	1	2	2
GCA_042542365.1	0	2	2	1	2	2
GCA_042544445.1	0	2	2	1	2	2
GCA_042543465.1	0	2	2	1	2	2
GCA_042113265.1	0	2	2	1	2	2
GCA_042096425.1	0	2	2	1	2	2
GCA_042403215.1	0	2	2	0	2	2
GCA_042080045.1	0	2	2	1	2	2
GCA_042454605.1	0	2	2	0	2	2
GCA_042455635.1	0	2	2	0	2	2
GCA_042454595.1	0	2	2	1	2	2
GCA_042280265.1	0	2	2	1	2	2
GCA_047875645.1	0	1	2	0	0	2
GCA_046746545.1	0	1	2	0	1	2
GCA_046746525.1	0	1	2	0	0	2
GCA_046746505.1	0	1	2	1	0	2
GCA_046747185.1	0	1	2	1	1	2
GCA_046746605.1	0	1	2	1	1	2
GCA_046746625.1	0	1	2	1	1	2
GCA_046746585.1	0	1	2	1	1	2
GCA_046746665.1	0	0	2	1	1	2
GCA_046746705.1	0	0	2	1	0	2
GCA_046746745.1	0	1	2	1	1	2
GCA_046746685.1	0	0	2	1	1	2
GCA_046746785.1	0	0	2	0	1	2
GCA_046746825.1	0	1	2	1	1	2
GCA_046746645.1	0	1	2	1	1	2
GCA_046746765.1	0	1	2	1	1	2
GCA_046746725.1	0	1	2	1	1	2
GCA_046746805.1	0	1	2	1	1	2
GCA_046747205.1	0	1	2	1	1	2
GCA_042103235.1	0	1	2	0	1	2
GCA_042066355.1	0	1	2	0	0	2
GCA_042066385.1	0	1	2	1	0	2
GCA_042067285.1	0	1	2	1	1	2
GCA_042069985.1	0	1	2	0	0	2
GCA_041943725.1	0	1	2	0	1	2
GCA_042103215.1	0	1	2	0	1	2
GCA_042066825.1	0	1	2	1	1	2
GCA_042068705.1	0	1	2	1	1	2
GCA_042070465.1	0	1	2	0	1	2
GCA_042103435.1	0	1	2	1	1	2
GCA_042065545.1	0	1	2	0	1	2
GCA_042103775.1	0	0	2	0	0	2
GCA_041942645.1	0	1	2	0	0	2
GCA_042071545.1	0	0	2	0	0	2
GCA_042071005.1	0	1	2	0	0	2
GCA_042071145.1	0	1	2	0	1	2
GCA_042071865.1	0	1	2	1	1	2
GCA_042072105.1	0	1	2	0	1	2
GCA_042072265.1	0	1	2	1	1	2
GCA_042067645.1	0	1	2	0	0	2
GCA_042067685.1	0	1	2	0	0	2
GCA_042067725.1	0	1	2	0	1	2
GCA_041942675.1	0	1	2	0	1	2
GCA_042066465.1	0	1	2	0	0	2
GCA_042066725.1	0	1	2	0	0	2
GCA_042066745.1	0	1	2	1	0	2
GCA_042066785.1	0	1	2	0	1	2
GCA_042066805.1	0	1	2	0	0	2
GCA_042066885.1	0	0	2	0	0	2
GCA_042067005.1	0	1	2	1	1	2
GCA_042068445.1	0	1	2	0	1	2
GCA_042068465.1	0	1	2	0	1	2
GCA_041942825.1	0	1	2	1	1	2
GCA_041942265.1	0	1	2	0	1	2
GCA_042068645.1	0	1	2	1	1	2
GCA_042068745.1	0	1	2	0	0	2
GCA_042068725.1	0	1	2	0	1	2
GCA_042064585.1	0	1	2	0	1	2
GCA_041943595.1	0	1	2	0	1	2
GCA_042064845.1	0	1	2	0	1	2
GCA_042064825.1	0	1	2	1	0	2
GCA_042064885.1	0	1	2	0	1	2
GCA_042064985.1	0	1	2	0	1	2
GCA_042065005.1	0	1	2	1	1	2
GCA_042067185.1	0	1	2	0	1	2
GCA_042067245.1	0	1	2	0	1	2
GCA_042067345.1	0	1	2	1	1	2
GCA_041943805.1	0	1	2	0	1	2
GCA_042067465.1	0	1	2	1	0	2
GCA_042067485.1	0	1	2	0	0	2
GCA_042068905.1	0	1	2	0	0	2
GCA_042068975.1	0	1	2	1	0	2
GCA_042073225.1	0	1	2	0	0	2
GCA_042069065.1	0	1	2	0	1	2
GCA_042069165.1	0	1	2	0	0	2
GCA_042069245.1	0	0	2	0	0	2
GCA_042069465.1	0	1	2	0	0	2
GCA_042067745.1	0	1	2	1	0	2
GCA_042067865.1	0	1	2	1	0	2
GCA_042067805.1	0	1	2	0	0	2
GCA_042102755.1	0	1	2	0	1	2
GCA_042102835.1	0	1	2	0	1	2
GCA_042102625.1	0	1	2	0	0	2
GCA_042068025.1	0	1	2	0	1	2
GCA_042067995.1	0	1	2	1	0	2
GCA_042068185.1	0	1	2	1	1	2
GCA_042069505.1	0	1	2	1	1	2
GCA_042069525.1	0	1	2	1	1	2
GCA_042073365.1	0	1	2	0	0	2
GCA_042073375.1	0	1	2	0	0	2
GCA_042073405.1	0	1	2	1	1	2
GCA_042069685.1	0	1	2	1	1	2
GCA_042069785.1	0	0	2	0	0	2
GCA_042073425.1	0	1	2	0	1	2
GCA_042069945.1	0	1	2	0	0	2
GCA_042069965.1	0	1	2	0	0	2
GCA_042070005.1	0	1	2	0	0	2
GCA_042070105.1	0	1	2	1	0	2
GCA_042064045.1	0	1	2	0	1	2
GCA_042064065.1	0	1	2	0	1	2
GCA_042073525.1	0	1	2	1	1	2
GCA_042073545.1	0	1	2	0	1	2
GCA_042073585.1	0	0	2	0	0	2
GCA_042064465.1	0	0	2	0	1	2
GCA_042070025.1	0	1	2	0	0	2
GCA_042070165.1	0	1	2	1	1	2
GCA_042070445.1	0	1	2	0	1	2
GCA_042065065.1	0	0	2	0	0	2
GCA_042065125.1	0	1	2	0	1	2
GCA_042063905.1	0	1	2	0	1	2
GCA_042065245.1	0	1	2	0	1	2
GCA_042073665.1	0	1	2	1	1	2
GCA_042065425.1	0	1	2	0	1	2
GCA_042073705.1	0	1	2	1	1	2
GCA_042065525.1	0	1	2	1	1	2
GCA_042065825.1	0	1	2	0	1	2
GCA_042066085.1	0	1	2	1	1	2
GCA_042066045.1	0	1	2	0	1	2
GCA_042072645.1	0	1	2	0	1	2
GCA_042072665.1	0	1	2	1	1	2
GCA_042072685.1	0	1	2	0	0	2
GCA_042072705.1	0	1	2	0	1	2
GCA_042071225.1	0	1	2	1	1	2
GCA_042071365.1	0	1	2	0	1	2
GCA_042072865.1	0	1	2	1	1	2
GCA_042071615.1	0	1	2	0	1	2
GCA_037836135.1	0	1	2	0	1	2
GCA_037830675.1	0	1	2	0	1	2
GCA_037842245.1	0	0	2	0	0	2
GCA_037837165.1	0	1	2	1	1	2
GCA_037826385.1	0	1	2	1	1	2
GCA_037828185.1	0	1	2	1	1	2
GCA_037834335.1	0	1	2	1	1	2
GCA_037837665.1	0	1	2	0	1	2
GCA_037835405.1	0	1	2	1	1	2
GCA_042104295.1	0	1	2	0	0	2
GCA_042073855.1	0	1	2	0	0	2
GCA_037831385.1	0	1	2	1	1	2
GCA_037831565.1	0	1	2	1	1	2
GCA_037829155.1	0	0	2	0	0	2
GCA_037829195.1	0	1	2	1	1	2
GCA_037827495.1	0	1	2	0	0	2
GCA_037828665.1	0	1	2	0	1	2
GCA_037828685.1	0	1	2	0	1	2
GCA_037828705.1	0	1	2	0	0	2
GCA_037828765.1	0	1	2	0	0	2
GCA_037828785.1	0	1	2	0	0	2
GCA_037829095.1	0	1	2	0	1	2
GCA_037839295.1	0	1	2	0	0	2
GCA_042105825.1	0	1	2	0	0	2
GCA_037839315.1	0	1	2	0	0	2
GCA_037825595.1	0	1	2	0	0	2
GCA_037833325.1	0	1	2	0	0	2
GCA_037833275.1	0	0	2	0	0	2
GCA_037833305.1	0	1	2	0	1	2
GCA_037833215.1	0	1	2	0	1	2
GCA_042105945.1	0	1	2	0	1	2
GCA_042104695.1	0	1	2	0	1	2
GCA_037825805.1	0	1	2	0	1	2
GCA_037825575.1	0	1	2	1	1	2
GCA_037833585.1	0	1	2	0	1	2
GCA_037833855.1	0	1	2	0	0	2
GCA_037833905.1	0	1	2	0	1	2
GCA_037838915.1	0	1	2	0	0	2
GCA_037834015.1	0	1	2	1	1	2
GCA_037838855.1	0	1	2	0	1	2
GCA_037838995.1	0	1	2	0	1	2
GCA_037839055.1	0	1	2	1	0	2
GCA_037839075.1	0	1	2	1	0	2
GCA_042105095.1	0	1	2	0	1	2
GCA_042109585.1	0	1	2	0	0	2
GCA_042073905.1	0	0	2	0	0	2
GCA_042105195.1	0	1	2	0	1	2
GCA_037842265.1	0	1	2	1	1	2
GCA_037842025.1	0	1	2	1	1	2
GCA_037842065.1	0	1	2	0	1	2
GCA_037842125.1	0	1	2	0	0	2
GCA_042103955.1	0	1	2	0	1	2
GCA_037836875.1	0	1	2	1	1	2
GCA_037836955.1	0	1	2	0	1	2
GCA_037837085.1	0	1	2	0	1	2
GCA_037837285.1	0	1	2	0	1	2
GCA_037840045.1	0	1	2	0	1	2
GCA_037826245.1	0	1	2	0	1	2
GCA_037840525.1	0	1	2	1	1	2
GCA_037826005.1	0	1	2	0	1	2
GCA_037826105.1	0	1	2	1	1	2
GCA_037826525.1	0	1	2	1	1	2
GCA_037835485.1	0	1	2	1	1	2
GCA_037835625.1	0	1	2	0	0	2
GCA_037826425.1	0	1	2	0	1	2
GCA_037835695.1	0	1	2	1	1	2
GCA_037835735.1	0	1	2	0	0	2
GCA_037826465.1	0	1	2	0	1	2
GCA_037828325.1	0	1	2	0	1	2
GCA_037827925.1	0	1	2	1	1	2
GCA_037835795.1	0	1	2	1	0	2
GCA_037835835.1	0	1	2	0	1	2
GCA_037828045.1	0	1	2	0	1	2
GCA_037828065.1	0	1	2	1	1	2
GCA_042104395.1	0	1	2	0	1	2
GCA_042104515.1	0	1	2	1	1	2
GCA_042104535.1	0	0	2	0	1	2
GCA_037828225.1	0	1	2	0	1	2
GCA_037828405.1	0	1	2	1	1	2
GCA_037828525.1	0	0	2	1	1	2
GCA_037829755.1	0	1	2	1	1	2
GCA_037829795.1	0	0	2	0	1	2
GCA_037838045.1	0	1	2	0	0	2
GCA_037829925.1	0	1	2	0	0	2
GCA_037838225.1	0	1	2	0	1	2
GCA_037830205.1	0	1	2	1	1	2
GCA_037838285.1	0	1	2	0	1	2
GCA_037838305.1	0	1	2	0	1	2
GCA_042105355.1	0	1	2	1	1	2
GCA_042105435.1	0	1	2	1	1	2
GCA_037838555.1	0	1	2	1	1	2
GCA_037838575.1	0	1	2	1	1	2
GCA_037834665.1	0	1	2	1	1	2
GCA_037834725.1	0	1	2	0	1	2
GCA_037834735.1	0	1	2	0	1	2
GCA_037834765.1	0	1	2	1	1	2
GCA_042105575.1	0	1	2	1	1	2
GCA_042105555.1	0	1	2	0	1	2
GCA_037834825.1	0	1	2	1	1	2
GCA_037840685.1	0	1	2	1	1	2
GCA_037840795.1	0	1	2	0	1	2
GCA_037840995.1	0	1	2	1	1	2
GCA_037841155.1	0	1	2	0	0	2
GCA_037830425.1	0	1	2	1	1	2
GCA_037830495.1	0	1	2	1	1	2
GCA_037830655.1	0	1	2	0	1	2
GCA_037826685.1	0	1	2	1	0	2
GCA_037826725.1	0	1	2	0	0	2
GCA_037827135.1	0	1	2	0	1	2
GCA_037827195.1	0	1	2	1	1	2
GCA_037827175.1	0	1	2	0	0	2
GCA_037837405.1	0	1	2	0	1	2
GCA_037837465.1	0	1	2	1	1	2
GCA_042104655.1	0	1	2	0	1	2
GCA_037837735.1	0	1	2	1	0	2
GCA_042104835.1	0	1	2	0	0	2
GCA_042104875.1	0	1	2	0	0	2
GCA_042104895.1	0	1	2	0	0	2
GCA_037837785.1	0	1	2	0	1	2
GCA_037837965.1	0	1	2	0	0	2
GCA_037835385.1	0	1	2	0	0	2
GCA_041943095.1	0	1	2	0	1	2
GCA_037835125.1	0	1	2	0	0	2
GCA_037841195.1	0	1	2	0	0	2
GCA_037841315.1	0	1	2	0	1	2
GCA_037841675.1	0	0	2	0	0	2
GCA_037830775.1	0	1	2	0	1	2
GCA_037831405.1	0	1	2	0	0	2
GCA_037831075.1	0	1	2	1	1	2
GCA_037831135.1	0	1	2	0	0	2
GCA_037831235.1	0	1	2	0	0	2
GCA_037831295.1	0	1	2	0	0	2
GCA_037831315.1	0	1	2	1	0	2
GCA_037831445.1	0	1	2	1	1	2
GCA_041941955.1	0	1	2	1	1	2
GCA_042102695.1	0	1	2	0	1	2
GCA_037831505.1	0	0	2	0	0	2
GCA_037831525.1	0	1	2	0	1	2
GCA_037831545.1	0	1	2	0	0	2
GCA_037831685.1	0	1	2	0	1	2
GCA_037831775.1	0	1	2	1	1	2
GCA_037829115.1	0	1	2	1	1	2
GCA_037831965.1	0	1	2	0	1	2
GCA_037831945.1	0	1	2	1	1	2
GCA_037832025.1	0	1	2	0	1	2
GCA_037828995.1	0	1	2	1	1	2
GCA_037829635.1	0	1	2	1	0	2
GCA_041942165.1	0	1	2	0	1	2
GCA_041943035.1	0	1	2	0	1	2
GCA_037829355.1	0	1	2	0	1	2
GCA_037827375.1	0	1	2	0	0	2
GCA_037827395.1	0	1	2	0	1	2
GCA_037827535.1	0	0	2	0	0	2
GCA_037836355.1	0	1	2	1	1	2
GCA_037836395.1	0	1	2	0	1	2
GCA_037836475.1	0	1	2	0	1	2
GCA_037836695.1	0	1	2	1	1	2
GCA_037832265.1	0	1	2	0	0	2
GCA_037832475.1	0	1	2	0	0	2
GCA_037839515.1	0	1	2	1	1	2
GCA_037839925.1	0	1	2	1	1	2
GCA_042102915.1	0	1	2	0	1	2
GCA_042014205.1	0	1	2	1	2	2
GCA_042014315.1	0	1	2	1	2	2
GCA_042014395.1	0	1	2	1	2	2
GCA_042014165.1	0	1	2	1	2	2
GCA_042014415.1	0	1	2	1	2	2
GCA_042014475.1	0	1	2	1	2	2
GCA_042014245.1	0	1	2	2	2	2
GCA_042014375.1	0	1	2	1	2	2
GCA_042014285.1	0	1	2	1	2	2
GCA_042014225.1	0	1	2	1	2	2
GCA_042014535.1	0	1	2	1	2	2
GCA_042014435.1	0	1	2	1	2	2
GCA_042014455.1	0	1	2	2	2	2
GCA_042014265.1	0	1	2	0	2	2
GCA_042014335.1	0	1	2	2	2	2
GCA_042067065.1	0	1	2	1	1	2
GCA_042103415.1	0	1	2	0	1	2
GCA_042103375.1	0	1	2	1	0	2
GCA_042103475.1	0	1	2	0	1	2
GCA_042103715.1	0	1	2	0	1	2
GCA_042065905.1	0	1	2	0	1	2
GCA_042066145.1	0	1	2	0	1	2
GCA_042070985.1	0	1	2	0	1	2
GCA_042071065.1	0	1	2	0	1	2
GCA_042071185.1	0	1	2	0	1	2
GCA_042071825.1	0	1	2	0	1	2
GCA_042071885.1	0	1	2	1	1	2
GCA_042072085.1	0	1	2	1	1	2
GCA_042072145.1	0	1	2	0	1	2
GCA_042072165.1	0	1	2	0	1	2
GCA_042072175.1	0	1	2	0	1	2
GCA_041942785.1	0	1	2	0	1	2
GCA_042066585.1	0	1	2	0	1	2
GCA_042066665.1	0	1	2	0	1	2
GCA_042066765.1	0	1	2	0	1	2
GCA_042066905.1	0	1	2	1	1	2
GCA_041942325.1	0	0	2	0	0	2
GCA_042068585.1	0	1	2	0	0	2
GCA_042068565.1	0	1	2	1	1	2
GCA_042068685.1	0	1	2	1	1	2
GCA_042068885.1	0	1	2	0	1	2
GCA_042064605.1	0	1	2	1	1	2
GCA_042064645.1	0	1	2	0	1	2
GCA_042064725.1	0	1	2	0	0	2
GCA_041943785.1	0	1	2	0	1	2
GCA_042073105.1	0	1	2	0	1	2
GCA_042067385.1	0	1	2	0	1	2
GCA_042103535.1	0	1	2	0	1	2
GCA_042067525.1	0	1	2	1	1	2
GCA_042067545.1	0	1	2	0	0	2
GCA_042067585.1	0	0	2	0	0	2
GCA_042067605.1	0	1	2	0	0	2
GCA_042073265.1	0	1	2	0	0	2
GCA_042069085.1	0	1	2	0	1	2
GCA_042069145.1	0	1	2	0	1	2
GCA_042069265.1	0	0	2	0	0	2
GCA_042069325.1	0	1	2	0	1	2
GCA_042069425.1	0	1	2	0	0	2
GCA_042067885.1	0	1	2	1	0	2
GCA_042068105.1	0	1	2	0	0	2
GCA_042068125.1	0	1	2	1	1	2
GCA_042073305.1	0	1	2	0	1	2
GCA_042069705.1	0	1	2	1	1	2
GCA_042069805.1	0	1	2	0	1	2
GCA_042070065.1	0	1	2	1	0	2
GCA_042064125.1	0	1	2	0	1	2
GCA_042064285.1	0	1	2	1	1	2
GCA_042064265.1	0	1	2	1	1	2
GCA_042064305.1	0	1	2	1	0	2
GCA_042073445.1	0	1	2	0	1	2
GCA_042064425.1	0	1	2	0	1	2
GCA_042070145.1	0	1	2	0	1	2
GCA_042070185.1	0	1	2	1	1	2
GCA_042070425.1	0	1	2	1	1	2
GCA_042070485.1	0	1	2	1	1	2
GCA_042070675.1	0	1	2	1	1	2
GCA_042063925.1	0	1	2	0	0	2
GCA_042063965.1	0	1	2	1	1	2
GCA_042065145.1	0	1	2	1	1	2
GCA_042065185.1	0	1	2	0	0	2
GCA_042065205.1	0	1	2	0	1	2
GCA_042065265.1	0	1	2	0	1	2
GCA_042073625.1	0	1	2	0	1	2
GCA_042073645.1	0	1	2	0	1	2
GCA_042065345.1	0	1	2	1	1	2
GCA_042065625.1	0	1	2	0	1	2
GCA_042065705.1	0	1	2	1	0	2
GCA_042065765.1	0	1	2	1	1	2
GCA_042065745.1	0	1	2	1	0	2
GCA_042072465.1	0	1	2	1	0	2
GCA_042072485.1	0	1	2	0	1	2
GCA_042065785.1	0	1	2	0	1	2
GCA_042065945.1	0	1	2	1	1	2
GCA_042065985.1	0	1	2	1	0	2
GCA_042072625.1	0	1	2	1	1	2
GCA_042072765.1	0	1	2	0	0	2
GCA_042066205.1	0	1	2	1	0	2
GCA_042066185.1	0	1	2	1	1	2
GCA_042071605.1	0	1	2	1	1	2
GCA_042071645.1	0	1	2	0	1	2
GCA_042072925.1	0	1	2	1	1	2
GCA_042071745.1	0	1	2	0	1	2
GCA_042072945.1	0	1	2	0	1	2
GCA_042070805.1	0	1	2	0	1	2
GCA_042070825.1	0	1	2	0	0	2
GCA_037836175.1	0	1	2	0	1	2
GCA_037838185.1	0	1	2	0	1	2
GCA_037839475.1	0	1	2	0	1	2
GCA_037825515.1	0	1	2	1	1	2
GCA_037833995.1	0	1	2	0	1	2
GCA_037833655.1	0	1	2	0	1	2
GCA_037841915.1	0	1	2	1	1	2
GCA_037841985.1	0	1	2	0	1	2
GCA_037826225.1	0	1	2	0	1	2
GCA_037835715.1	0	1	2	1	1	2
GCA_037835905.1	0	1	2	1	1	2
GCA_037830105.1	0	1	2	1	1	2
GCA_037838205.1	0	1	2	1	1	2
GCA_042104475.1	0	1	2	0	1	2
GCA_037827635.1	0	1	2	0	1	2
GCA_037828725.1	0	1	2	1	1	2
GCA_037828955.1	0	1	2	1	0	2
GCA_037836195.1	0	0	2	0	0	2
GCA_042105905.1	0	1	2	0	1	2
GCA_037839435.1	0	1	2	0	1	2
GCA_037825695.1	0	1	2	0	1	2
GCA_037825615.1	0	1	2	0	0	2
GCA_037825755.1	0	1	2	0	0	2
GCA_037825455.1	0	1	2	0	0	2
GCA_037833075.1	0	1	2	1	1	2
GCA_037825865.1	0	1	2	0	1	2
GCA_037825845.1	0	1	2	1	0	2
GCA_042104795.1	0	1	2	0	1	2
GCA_037834035.1	0	1	2	0	1	2
GCA_037838975.1	0	1	2	0	1	2
GCA_037838675.1	0	1	2	0	1	2
GCA_037838735.1	0	1	2	1	0	2
GCA_037839275.1	0	1	2	0	0	2
GCA_037838875.1	0	1	2	0	0	2
GCA_037841945.1	0	1	2	0	1	2
GCA_037839155.1	0	1	2	0	0	2
GCA_037841965.1	0	1	2	0	1	2
GCA_037842185.1	0	1	2	0	0	2
GCA_042103815.1	0	1	2	0	1	2
GCA_037837035.1	0	1	2	1	1	2
GCA_037836895.1	0	1	2	0	1	2
GCA_037836975.1	0	0	2	0	0	2
GCA_042112825.1	0	1	2	0	1	2
GCA_037837225.1	0	1	2	0	1	2
GCA_037840125.1	0	1	2	0	1	2
GCA_037840485.1	0	1	2	1	1	2
GCA_037840105.1	0	0	2	0	0	2
GCA_037840205.1	0	1	2	0	1	2
GCA_037840245.1	0	1	2	1	0	2
GCA_037840285.1	0	1	2	0	0	2
GCA_037840445.1	0	0	2	0	0	2
GCA_037840545.1	0	1	2	1	1	2
GCA_042103935.1	0	1	2	0	0	2
GCA_042103975.1	0	1	2	0	1	2
GCA_042104015.1	0	1	2	0	1	2
GCA_042073945.1	0	1	2	0	0	2
GCA_037826205.1	0	1	2	0	1	2
GCA_037826365.1	0	1	2	1	1	2
GCA_037835755.1	0	1	2	1	0	2
GCA_037826505.1	0	1	2	0	1	2
GCA_037835585.1	0	1	2	1	1	2
GCA_042104355.1	0	1	2	0	0	2
GCA_037835775.1	0	1	2	1	0	2
GCA_037835875.1	0	1	2	1	1	2
GCA_037836075.1	0	1	2	0	1	2
GCA_037828265.1	0	1	2	0	1	2
GCA_037828165.1	0	1	2	0	1	2
GCA_042104495.1	0	1	2	0	1	2
GCA_042104555.1	0	1	2	0	0	2
GCA_037829715.1	0	1	2	0	1	2
GCA_042105255.1	0	1	2	0	1	2
GCA_037830225.1	0	1	2	0	1	2
GCA_037829985.1	0	1	2	1	1	2
GCA_037830005.1	0	1	2	0	1	2
GCA_037838245.1	0	1	2	0	1	2
GCA_042112725.1	0	1	2	0	1	2
GCA_037838425.1	0	1	2	0	1	2
GCA_042105455.1	0	0	2	0	1	2
GCA_037838465.1	0	1	2	1	1	2
GCA_037834475.1	0	1	2	0	1	2
GCA_037834545.1	0	1	2	0	1	2
GCA_037838515.1	0	0	2	0	0	2
GCA_037838595.1	0	0	2	0	0	2
GCA_037838635.1	0	1	2	0	1	2
GCA_037834215.1	0	1	2	0	1	2
GCA_037834175.1	0	1	2	1	1	2
GCA_037834195.1	0	1	2	1	1	2
GCA_037834395.1	0	1	2	0	1	2
GCA_037834925.1	0	1	2	0	1	2
GCA_037834625.1	0	1	2	0	0	2
GCA_037834705.1	0	1	2	0	0	2
GCA_042105515.1	0	1	2	0	1	2
GCA_042105595.1	0	1	2	0	1	2
GCA_042105615.1	0	1	2	0	0	2
GCA_037834805.1	0	1	2	1	1	2
GCA_037840875.1	0	1	2	1	1	2
GCA_037840915.1	0	1	2	1	1	2
GCA_037840935.1	0	1	2	0	1	2
GCA_037840815.1	0	1	2	0	1	2
GCA_037840845.1	0	1	2	0	1	2
GCA_037830405.1	0	1	2	0	1	2
GCA_037826855.1	0	1	2	0	1	2
GCA_037826895.1	0	1	2	1	1	2
GCA_037826915.1	0	1	2	1	1	2
GCA_037826975.1	0	1	2	0	1	2
GCA_037827035.1	0	1	2	0	0	2
GCA_037827015.1	0	1	2	1	1	2
GCA_037827115.1	0	1	2	1	0	2
GCA_037837365.1	0	1	2	0	1	2
GCA_037837565.1	0	1	2	0	1	2
GCA_042104675.1	0	1	2	1	1	2
GCA_042104715.1	0	1	2	0	1	2
GCA_042104855.1	0	1	2	0	1	2
GCA_042104975.1	0	1	2	0	0	2
GCA_037837815.1	0	1	2	0	0	2
GCA_037837805.1	0	1	2	0	1	2
GCA_037837925.1	0	1	2	0	1	2
GCA_037838025.1	0	1	2	1	1	2
GCA_037834885.1	0	1	2	1	1	2
GCA_037834945.1	0	1	2	0	0	2
GCA_037835045.1	0	1	2	1	1	2
GCA_037835085.1	0	1	2	0	1	2
GCA_037835065.1	0	1	2	1	1	2
GCA_037835105.1	0	1	2	0	1	2
GCA_037835225.1	0	1	2	0	1	2
GCA_037835345.1	0	1	2	0	0	2
GCA_037835495.1	0	1	2	0	1	2
GCA_037841415.1	0	1	2	1	1	2
GCA_037841435.1	0	1	2	1	1	2
GCA_037841655.1	0	1	2	0	1	2
GCA_037841735.1	0	1	2	1	1	2
GCA_041943845.1	0	1	2	1	1	2
GCA_037830815.1	0	1	2	0	1	2
GCA_037830835.1	0	1	2	0	1	2
GCA_037831095.1	0	1	2	1	1	2
GCA_037831195.1	0	1	2	0	1	2
GCA_041942955.1	0	1	2	0	0	2
GCA_037831275.1	0	1	2	0	0	2
GCA_041942995.1	0	1	2	0	1	2
GCA_041942405.1	0	1	2	1	1	2
GCA_041942565.1	0	1	2	0	0	2
GCA_041942085.1	0	1	2	0	1	2
GCA_041943515.1	0	1	2	1	0	2
GCA_041943115.1	0	1	2	0	1	2
GCA_037831465.1	0	1	2	1	0	2
GCA_037831885.1	0	1	2	1	0	2
GCA_037831485.1	0	0	2	0	0	2
GCA_037831605.1	0	1	2	0	1	2
GCA_037831585.1	0	1	2	0	0	2
GCA_037831625.1	0	1	2	0	1	2
GCA_037831645.1	0	1	2	0	1	2
GCA_037831735.1	0	1	2	0	0	2
GCA_037831725.1	0	1	2	0	1	2
GCA_037831705.1	0	1	2	0	1	2
GCA_037831845.1	0	1	2	0	1	2
GCA_037831865.1	0	1	2	0	0	2
GCA_037831985.1	0	1	2	1	1	2
GCA_037829015.1	0	1	2	0	1	2
GCA_037829555.1	0	1	2	1	1	2
GCA_037829595.1	0	1	2	0	1	2
GCA_037829275.1	0	1	2	0	0	2
GCA_041943175.1	0	1	2	0	1	2
GCA_042102675.1	0	1	2	0	1	2
GCA_041943055.1	0	1	2	0	1	2
GCA_041943235.1	0	1	2	1	1	2
GCA_042102995.1	0	1	2	1	1	2
GCA_042103035.1	0	1	2	0	1	2
GCA_041943255.1	0	1	2	0	1	2
GCA_041943275.1	0	1	2	0	1	2
GCA_041943315.1	0	1	2	0	1	2
GCA_037827215.1	0	1	2	0	1	2
GCA_037827435.1	0	1	2	0	1	2
GCA_037827455.1	0	1	2	0	1	2
GCA_037836335.1	0	1	2	0	0	2
GCA_041942125.1	0	1	2	1	1	2
GCA_037836315.1	0	1	2	0	1	2
GCA_037827695.1	0	1	2	1	0	2
GCA_037827715.1	0	1	2	1	1	2
GCA_037827775.1	0	1	2	1	0	2
GCA_037827815.1	0	1	2	0	1	2
GCA_037827845.1	0	1	2	0	1	2
GCA_037827885.1	0	1	2	0	1	2
GCA_037836275.1	0	1	2	0	1	2
GCA_037836735.1	0	1	2	0	1	2
GCA_037836775.1	0	1	2	1	1	2
GCA_037832105.1	0	1	2	0	1	2
GCA_037832245.1	0	1	2	1	1	2
GCA_041943865.1	0	1	2	0	1	2
GCA_041943885.1	0	1	2	0	1	2
GCA_037832455.1	0	1	2	1	1	2
GCA_037839555.1	0	1	2	1	1	2
GCA_042103595.1	0	0	2	0	0	2
GCA_042103615.1	0	1	2	0	1	2
GCA_042103635.1	0	1	2	0	1	2
GCA_041941965.1	0	1	2	0	1	2
GCA_041943335.1	0	1	2	0	1	2
GCA_037839745.1	0	1	2	1	1	2
GCA_037839765.1	0	1	2	1	1	2
GCA_037839965.1	0	1	2	1	0	2
GCA_042063945.1	0	1	2	1	1	2
GCA_037828825.1	0	1	2	1	1	2
GCA_042103095.1	0	1	2	0	1	2
GCA_041943425.1	0	1	2	0	1	2
GCA_037828915.1	0	1	2	0	1	2
GCA_042293225.1	0	1	2	0	0	2
GCA_042293245.1	0	1	2	0	0	2
GCA_042294425.1	0	1	2	0	0	2
GCA_042293525.1	0	1	2	0	0	2
GCA_042298275.1	0	1	2	0	1	2
GCA_042297475.1	0	1	2	0	1	2
GCA_042297715.1	0	1	2	0	0	2
GCA_042298075.1	0	1	2	0	1	2
GCA_042299415.1	0	1	2	0	0	2
GCA_042299295.1	0	1	2	0	0	2
GCA_042295795.1	0	1	2	0	0	2
GCA_042295955.1	0	1	2	0	1	2
GCA_042296075.1	0	1	2	0	0	2
GCA_042295475.1	0	1	2	0	0	2
GCA_042296245.1	0	1	2	0	0	2
GCA_042296365.1	0	1	2	1	1	2
GCA_042296485.1	0	1	2	0	0	2
GCA_042294905.1	0	1	2	1	1	2
GCA_042294745.1	0	1	2	0	1	2
GCA_042296585.1	0	1	2	0	1	2
GCA_042294445.1	0	1	2	0	0	2
