	chloramphenicol	trimethoprim_sulfamethoxazole	ampicillin	nalidixic_acid	ciprofloxacin	amoxicillin_clavulanic_acid	ceftriaxone	azithromycin	sulfisoxazole	cefoxitin	gentamicin	tetracycline	ceftiofur	kanamycin	enrofloxacin	streptomycin	ceftazidime	colistin	ampicillin_sulbactam	cefotaxime	spectinomycin	sulfamethoxazole	trimethoprim	cefazolin	sulphathiazole
GCA_008513995.1	1	0	1	1	0	0	0	0	1	0	0	1	0	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008410515.1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	2	2	2	2	2	2	2	2	2
GCA_008474445.1	1	0	1	0	0	1	1	0	1	1	0	1	1	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008850665.1	1	0	1	0	0	1	1	0	1	1	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_008406925.1	1	0	0	0	0	0	0	0	1	0	1	1	0	2	2	1	2	2	2	2	2	2	2	2	2
GCA_001245745.1	1	0	1	0	0	1	1	0	1	1	1	1	1	2	2	0	2	2	2	2	2	2	2	2	2
GCA_001245835.1	1	0	1	0	0	1	1	0	1	1	0	1	1	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008411245.1	1	0	0	0	0	0	0	0	1	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_008411485.1	1	0	1	0	0	0	0	0	1	0	0	1	0	2	2	1	2	2	2	2	2	2	2	2	2
GCA_001477855.1	1	0	1	0	0	0	0	0	1	0	0	1	0	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008411525.1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	2	2	2	2	2	2	2	2	2
GCA_008474545.1	1	0	1	0	0	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_008517645.1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	2	2	2	2	2	2	2	2
GCA_001246165.1	1	0	1	0	0	1	1	0	1	1	0	1	1	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008471565.1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	2	2	2	2	2	2	2	2
GCA_008516765.1	1	0	1	0	0	0	0	0	1	0	0	1	0	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008832245.1	1	0	1	0	0	1	1	0	1	1	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_003589785.1	1	0	1	1	0	1	1	0	1	1	0	1	1	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008976145.1	1	0	1	0	0	1	1	0	1	1	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_008474745.1	1	0	1	0	0	0	0	1	1	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2
