	ceftazidime	colistin	trimethoprim_sulfamethoxazole	ciprofloxacin	tobramycin	amikacin	ampicillin	cefoxitin	azithromycin	gentamicin	cefotaxime	tetracycline	nalidixic_acid	ertapenem	ceftriaxone	sulfisoxazole	streptomycin	ticarcillin_clavulanic_acid	trimethoprim	cefpirome	temocillin
GCA_002317875.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002317915.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002248805.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002248855.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002247465.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002247485.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002248685.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002248665.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002247525.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002247555.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002247505.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002248705.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002248165.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002248175.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002248195.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002317945.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002247575.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002247605.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002249085.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002248355.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002249075.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002248305.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002248985.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002249025.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002248325.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002248715.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002247685.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002247735.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002247725.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002247775.2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002247765.2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002248745.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002248785.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002247805.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002248755.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_002248465.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
