	ampicillin	vancomycin	gentamicin	tetracycline	doxycycline	linezolid	streptomycin
GCA_015446505.1	1	1	2	2	2	2	2
GCA_015446465.1	1	1	2	2	2	2	2
GCA_018086625.1	1	1	2	2	2	2	2
GCA_015446405.1	1	1	2	2	2	2	2
GCA_015446145.1	1	0	2	2	2	2	2
GCA_015446085.1	1	1	2	2	2	2	2
GCA_015446745.1	1	1	2	2	2	2	2
GCA_015446305.1	1	1	2	2	2	2	2
GCA_015445925.1	1	0	2	2	2	2	2
GCA_015445865.1	1	0	2	2	2	2	2
GCA_015445085.1	1	1	2	2	2	2	2
GCA_015445055.1	1	0	2	2	2	2	2
GCA_018086585.1	1	1	2	2	2	2	2
GCA_015441325.1	1	0	2	2	2	2	2
GCA_015441925.1	1	0	2	2	2	2	2
GCA_015440305.1	1	0	2	2	2	2	2
GCA_015440245.1	1	0	2	2	2	2	2
GCA_015440185.1	1	1	2	2	2	2	2
GCA_015440045.1	1	0	2	2	2	2	2
GCA_015438665.1	1	1	2	2	2	2	2
GCA_015437665.1	1	0	2	2	2	2	2
GCA_015438285.1	1	0	2	2	2	2	2
GCA_015446625.1	1	0	2	2	2	2	2
GCA_015437905.1	1	1	2	2	2	2	2
GCA_015437845.1	1	1	2	2	2	2	2
GCA_015437985.1	1	1	2	2	2	2	2
GCA_015438385.1	1	1	2	2	2	2	2
GCA_015438325.1	1	1	2	2	2	2	2
GCA_015438335.1	1	1	2	2	2	2	2
GCA_015438265.1	1	1	2	2	2	2	2
GCA_015438245.1	1	1	2	2	2	2	2
GCA_015438185.1	1	0	2	2	2	2	2
GCA_015438225.1	1	0	2	2	2	2	2
GCA_015438165.1	1	1	2	2	2	2	2
GCA_015438205.1	1	1	2	2	2	2	2
GCA_015438115.1	1	1	2	2	2	2	2
GCA_015438065.1	1	0	2	2	2	2	2
GCA_015438025.1	1	0	2	2	2	2	2
GCA_015437785.1	1	1	2	2	2	2	2
GCA_015437475.1	1	0	2	2	2	2	2
GCA_015437245.1	1	0	2	2	2	2	2
GCA_015437595.1	1	1	2	2	2	2	2
GCA_015437445.1	1	1	2	2	2	2	2
GCA_015437745.1	1	1	2	2	2	2	2
GCA_015437645.1	1	0	2	2	2	2	2
GCA_015437825.1	1	1	2	2	2	2	2
GCA_015437765.1	1	0	2	2	2	2	2
GCA_015437725.1	1	1	2	2	2	2	2
GCA_015437205.1	1	1	2	2	2	2	2
GCA_015437345.1	1	1	2	2	2	2	2
