	tobramycin	ciprofloxacin	meropenem	ceftazidime	amikacin	gentamicin	imipenem	levofloxacin	cefepime	colistin	ceftolozane_tazobactam	piperacillin_tazobactam	ceftazidime_avibactam	aztreonam
GCA_032743415.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
GCA_032738425.1	2	1	2	2	2	2	0	2	2	2	2	2	2	2
GCA_032764565.1	2	1	2	2	2	2	0	2	2	2	2	2	2	2
GCA_032742315.1	2	1	2	2	2	2	0	2	2	2	2	2	2	2
GCA_032750435.1	2	1	2	2	2	2	0	2	2	2	2	2	2	2
GCA_032750055.1	2	1	2	2	2	2	0	2	2	2	2	2	2	2
GCA_032743155.1	2	1	2	2	2	2	0	2	2	2	2	2	2	2
GCA_032744195.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
GCA_032750575.1	2	1	2	2	2	2	0	2	2	2	2	2	2	2
GCA_032750655.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
GCA_032764805.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
GCA_032764825.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
GCA_032764665.1	2	1	2	2	2	2	0	2	2	2	2	2	2	2
GCA_032743395.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
GCA_032742095.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
GCA_032764405.1	2	1	2	2	2	2	0	2	2	2	2	2	2	2
GCA_032764425.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
GCA_032742135.1	2	1	2	2	2	2	0	2	2	2	2	2	2	2
GCA_032742075.1	2	1	2	2	2	2	0	2	2	2	2	2	2	2
GCA_032764485.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
GCA_032749955.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
GCA_032764445.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
GCA_032764585.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
GCA_032743115.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
GCA_032744015.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
GCA_032744115.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
GCA_032744165.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
GCA_032750535.1	2	1	2	2	2	2	0	2	2	2	2	2	2	2
GCA_003936975.1	2	1	1	1	1	1	1	1	1	0	1	1	0	1
GCA_003940675.1	2	1	1	0	1	1	1	1	1	0	0	1	0	1
GCA_003936385.1	2	1	1	1	1	1	1	1	1	0	1	1	1	1
GCA_003936965.1	2	1	1	1	1	1	1	1	1	0	1	1	1	1
GCA_003936865.1	2	1	1	1	1	1	1	1	1	0	1	1	1	1
GCA_003936835.1	2	1	1	1	1	1	1	1	1	0	1	1	0	1
GCA_003940585.1	2	1	1	1	1	1	1	1	0	0	1	1	0	0
GCA_003940575.1	2	1	1	1	0	1	1	1	0	0	1	1	0	0
GCA_032764605.1	2	0	2	2	2	2	0	2	2	2	2	2	2	2
GCA_032750555.1	2	0	2	2	2	2	0	2	2	2	2	2	2	2
GCA_003944895.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003940635.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003935835.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003940665.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003936925.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003936325.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003937395.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003937375.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003936935.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003939695.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003939105.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003939685.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003936295.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003936245.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003936905.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003936255.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003936225.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003940625.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003936235.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_902807215.1	2	0	2	2	2	0	2	2	2	2	2	2	2	2
GCA_902807105.1	2	0	2	2	2	0	2	2	2	2	2	2	2	2
GCA_045490095.1	2	0	0	2	2	2	2	2	2	2	2	2	2	2
GCA_002193905.1	2	2	1	0	2	2	1	2	0	2	2	0	0	0
GCA_002193815.1	2	2	1	0	2	2	1	2	0	2	2	0	0	0
GCA_002194135.1	2	2	1	0	2	2	1	2	1	2	2	0	0	1
GCA_002193835.1	2	2	1	0	2	2	1	2	0	2	2	0	0	0
GCA_002193995.1	2	2	1	0	2	2	1	2	1	2	2	0	0	1
GCA_002194075.1	2	2	1	1	2	2	1	2	1	2	2	1	0	1
GCA_002193915.1	2	2	1	1	2	2	1	2	1	2	2	1	0	1
GCA_002193895.1	2	2	1	1	2	2	1	2	1	2	2	0	0	1
GCA_002193925.1	2	2	1	1	2	2	1	2	1	2	2	0	0	1
GCA_002193765.1	2	2	1	1	2	2	1	2	0	2	2	0	0	0
GCA_002193755.1	2	2	1	0	2	2	1	2	1	2	2	1	0	1
GCA_000789495.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000789535.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000789525.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000789745.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000789845.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000789905.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000790505.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000790305.1	2	2	1	0	1	2	2	1	2	0	2	2	2	2
GCA_000790285.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000790185.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000790115.1	2	2	1	0	0	2	2	0	2	0	2	2	2	2
GCA_000790725.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000790705.1	2	2	1	1	0	2	2	0	2	0	2	2	2	2
GCA_000790655.1	2	2	1	2	0	2	2	0	2	0	2	2	2	2
GCA_000790605.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000790355.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000790405.1	2	2	1	0	0	2	2	1	2	0	2	2	2	2
GCA_000791085.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000790885.1	2	2	1	1	0	2	2	0	2	0	2	2	2	2
GCA_000790935.1	2	2	1	0	0	2	2	0	2	0	2	2	2	2
GCA_000790915.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000790835.1	2	2	1	0	1	2	2	1	2	0	2	2	2	2
GCA_000790825.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000791205.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000791185.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000791155.1	2	2	1	0	0	2	2	1	2	0	2	2	2	2
GCA_000791125.1	2	2	1	0	1	2	2	0	2	0	2	2	2	2
GCA_000791625.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000791275.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000791985.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000791965.1	2	2	1	0	0	2	2	1	2	0	2	2	2	2
GCA_000791915.1	2	2	1	0	0	2	2	1	2	0	2	2	2	2
GCA_000792065.1	2	2	1	0	0	2	2	0	2	0	2	2	2	2
GCA_000792165.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000792145.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000792115.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000791545.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000791495.1	2	2	1	0	1	2	2	0	2	0	2	2	2	2
GCA_000791485.1	2	2	1	2	1	2	2	0	2	0	2	2	2	2
GCA_000791445.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000791385.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000791735.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000791725.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000791685.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000791825.1	2	2	1	2	0	2	2	0	2	0	2	2	2	2
GCA_000791785.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000792225.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000792825.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000792785.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000792445.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000792395.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000792325.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000792305.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000792725.1	2	2	1	0	1	2	2	1	2	0	2	2	2	2
GCA_000792705.1	2	2	1	0	1	2	2	1	2	0	2	2	2	2
GCA_000792675.1	2	2	1	2	0	2	2	0	2	0	2	2	2	2
GCA_000792665.1	2	2	1	0	1	2	2	1	2	0	2	2	2	2
GCA_000792545.1	2	2	1	2	0	2	2	0	2	0	2	2	2	2
GCA_000795535.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000795525.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000795505.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000795465.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000795435.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000795405.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000795365.1	2	2	1	0	0	2	2	1	2	0	2	2	2	2
GCA_000795265.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000795235.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000795205.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000796405.1	2	2	1	2	0	2	2	1	2	2	2	2	2	2
GCA_000794985.1	2	2	1	1	0	2	2	0	2	0	2	2	2	2
GCA_000794965.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000794945.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000794925.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000794905.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000794885.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000794825.1	2	2	1	0	0	2	2	0	2	0	2	2	2	2
GCA_000794405.1	2	2	1	1	0	2	2	1	2	2	2	2	2	2
GCA_000794365.1	2	2	1	2	0	2	2	0	2	0	2	2	2	2
GCA_000794335.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000794325.1	2	2	1	0	0	2	2	0	2	0	2	2	2	2
GCA_000794305.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000794285.1	2	2	1	0	0	2	2	1	2	0	2	2	2	2
GCA_000794555.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000794545.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000794505.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000794515.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000794445.1	2	2	1	2	0	2	2	0	2	2	2	2	2	2
GCA_000795045.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000794805.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000794785.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000794725.1	2	2	1	2	0	2	2	0	2	0	2	2	2	2
GCA_000794735.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000794645.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000794605.1	2	2	1	2	0	2	2	0	2	0	2	2	2	2
GCA_000794585.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000794245.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000794195.1	2	2	1	0	0	2	2	0	2	0	2	2	2	2
GCA_000794055.1	2	2	1	0	1	2	2	1	2	0	2	2	2	2
GCA_000794045.1	2	2	1	2	1	2	2	0	2	0	2	2	2	2
GCA_000794025.1	2	2	1	0	0	2	2	0	2	0	2	2	2	2
GCA_000794005.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000793945.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000793665.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000793645.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000793595.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000793745.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000793705.1	2	2	1	2	0	2	2	0	2	0	2	2	2	2
GCA_000793685.1	2	2	1	1	0	2	2	0	2	0	2	2	2	2
GCA_000793785.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000793765.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000792885.1	2	2	1	2	0	2	2	0	2	0	2	2	2	2
GCA_000793135.1	2	2	1	2	0	2	2	0	2	0	2	2	2	2
GCA_000793125.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000793055.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000793165.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000793365.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000793345.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000793505.1	2	2	1	2	0	2	2	0	2	0	2	2	2	2
GCA_000793485.1	2	2	1	1	0	2	2	0	2	0	2	2	2	2
GCA_000793455.1	2	2	1	1	0	2	2	0	2	0	2	2	2	2
GCA_000796165.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000796125.1	2	2	1	1	0	2	2	1	2	2	2	2	2	2
GCA_000796045.1	2	2	1	1	0	2	2	1	2	2	2	2	2	2
GCA_000796025.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000795955.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000795945.1	2	2	1	0	1	2	2	1	2	2	2	2	2	2
GCA_000795925.1	2	2	1	2	0	2	2	1	2	2	2	2	2	2
GCA_000795905.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000795875.1	2	2	1	2	0	2	2	0	2	2	2	2	2	2
GCA_000795865.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000795845.1	2	2	1	1	0	2	2	1	2	2	2	2	2	2
GCA_000795815.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000795805.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000795785.1	2	2	1	0	0	2	2	0	2	2	2	2	2	2
GCA_000795765.1	2	2	1	0	0	2	2	1	2	2	2	2	2	2
GCA_000795725.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000795705.1	2	2	1	0	1	2	2	1	2	0	2	2	2	2
GCA_000795685.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000795665.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000795635.1	2	2	1	1	0	2	2	0	2	0	2	2	2	2
GCA_000795625.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000795605.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000796685.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000796655.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000796645.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000796615.1	2	2	1	2	1	2	2	0	2	0	2	2	2	2
GCA_000796605.1	2	2	1	2	0	2	2	0	2	0	2	2	2	2
GCA_000796585.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000796505.1	2	2	1	2	0	2	2	1	2	2	2	2	2	2
GCA_000796365.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000796345.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000796295.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000796285.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000796245.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000796225.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000797395.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000797205.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000797185.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000797165.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000797145.1	2	2	1	2	0	2	2	1	2	0	2	2	2	2
GCA_000797125.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000797085.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000797025.1	2	2	1	1	0	2	2	1	2	0	2	2	2	2
GCA_000796985.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000796945.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000796925.1	2	2	1	0	1	2	2	1	2	0	2	2	2	2
GCA_000796875.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000796845.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000796795.1	2	2	1	2	1	2	2	1	2	0	2	2	2	2
GCA_000796785.1	2	2	1	2	1	2	2	1	2	1	2	2	2	2
GCA_000796745.1	2	2	1	2	1	2	2	1	2	1	2	2	2	2
GCA_000796725.1	2	2	1	1	1	2	2	1	2	0	2	2	2	2
GCA_000937495.2	2	2	1	1	2	2	2	1	2	2	2	1	2	1
GCA_049383645.1	2	2	1	1	2	2	1	2	1	2	2	2	2	2
GCA_002194055.1	2	2	0	0	2	2	0	2	0	2	2	0	0	0
GCA_002194025.1	2	2	0	0	2	2	1	2	0	2	2	0	0	0
GCA_002194005.1	2	2	0	1	2	2	1	2	1	2	2	0	0	1
GCA_002193975.1	2	2	0	0	2	2	0	2	0	2	2	0	0	0
GCA_002193685.1	2	2	0	0	2	2	1	2	0	2	2	0	0	0
GCA_002193745.1	2	2	0	1	2	2	1	2	1	2	2	0	0	1
GCA_002193655.1	2	2	0	0	2	2	0	2	0	2	2	0	0	0
GCA_002193735.1	2	2	0	1	2	2	0	2	0	2	2	1	0	1
GCA_002193675.1	2	2	0	0	2	2	1	2	0	2	2	0	0	1
GCA_002193665.1	2	2	0	0	2	2	1	2	0	2	2	0	0	0
GCA_002194095.1	2	2	0	0	2	2	0	2	0	2	2	0	0	0
GCA_002194085.1	2	2	0	0	2	2	1	2	1	2	2	0	0	0
GCA_002193845.1	2	2	0	0	2	2	1	2	0	2	2	0	0	0
GCA_002193825.1	2	2	0	0	2	2	1	2	0	2	2	0	0	0
GCA_000789485.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000793585.1	2	2	0	2	0	2	2	1	2	0	2	2	2	2
GCA_000789705.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000789685.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000789635.1	2	2	0	1	0	2	2	1	2	0	2	2	2	2
GCA_000789645.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000789625.1	2	2	0	1	0	2	2	1	2	0	2	2	2	2
GCA_000789605.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000789555.1	2	2	0	2	1	2	2	1	2	0	2	2	2	2
GCA_000789545.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000789785.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000789755.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000789725.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000789835.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000789805.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000789815.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000789925.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000789935.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000789885.1	2	2	0	2	1	2	2	1	2	0	2	2	2	2
GCA_000789965.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000789975.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790025.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000789995.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790485.1	2	2	0	2	0	2	2	1	2	0	2	2	2	2
GCA_000790265.1	2	2	0	0	0	2	2	1	2	0	2	2	2	2
GCA_000790245.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790205.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790215.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000790065.1	2	2	0	1	0	2	2	1	2	0	2	2	2	2
GCA_000790035.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790145.1	2	2	0	0	0	2	2	1	2	0	2	2	2	2
GCA_000790155.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790105.1	2	2	0	2	0	2	2	1	2	0	2	2	2	2
GCA_000790085.1	2	2	0	2	0	2	2	1	2	0	2	2	2	2
GCA_000790735.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790685.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790645.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790625.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790585.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790565.1	2	2	0	0	0	2	2	1	2	0	2	2	2	2
GCA_000790545.1	2	2	0	0	0	2	2	1	2	0	2	2	2	2
GCA_000790525.1	2	2	0	1	1	2	2	1	2	0	2	2	2	2
GCA_000790385.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790345.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000790325.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_006971785.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790445.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790425.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791105.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791065.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791035.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791025.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791005.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790985.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790965.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790905.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000790865.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790805.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000790785.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000790765.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000791265.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791235.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791225.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000791145.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791665.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791635.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791605.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000791345.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791325.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791305.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792025.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792005.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791945.1	2	2	0	1	0	2	2	1	2	0	2	2	2	2
GCA_000791905.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791885.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791855.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000791835.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792095.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792085.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000792045.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792155.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791585.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791565.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791525.1	2	2	0	2	0	2	2	1	2	0	2	2	2	2
GCA_000791465.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791425.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791405.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000791365.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791705.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791805.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000791765.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792265.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792245.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792205.1	2	2	0	1	0	2	2	1	2	0	2	2	2	2
GCA_000792805.1	2	2	0	1	0	2	2	1	2	0	2	2	2	2
GCA_000792765.1	2	2	0	1	0	2	2	1	2	0	2	2	2	2
GCA_000792385.1	2	2	0	1	0	2	2	0	2	0	2	2	2	2
GCA_000792365.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792345.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792285.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792745.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792635.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792625.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000792605.1	2	2	0	0	0	2	2	1	2	0	2	2	2	2
GCA_000792575.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792565.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
