	tobramycin	ciprofloxacin	meropenem	ceftazidime	amikacin	gentamicin	imipenem	levofloxacin	cefepime	colistin	ceftolozane_tazobactam	piperacillin_tazobactam	ceftazidime_avibactam	aztreonam
GCA_024719405.1	1	1	2	2	2	1	1	2	1	2	2	1	2	2
GCA_024719375.1	1	1	2	2	0	1	1	2	0	2	2	2	2	2
GCA_024719355.1	1	1	2	2	0	1	2	2	0	2	2	1	2	2
GCA_024719295.1	1	1	2	2	2	1	1	2	1	2	2	1	2	2
GCA_024719275.1	1	1	2	2	2	1	1	2	0	2	2	0	2	2
GCA_024719195.1	1	1	2	2	0	1	1	2	2	2	2	1	2	2
GCA_024719065.1	1	1	2	2	2	1	2	2	2	2	2	1	2	2
GCA_024719005.1	1	1	2	2	0	1	1	2	1	2	2	2	2	2
GCA_024718985.1	1	1	2	1	0	1	2	2	1	2	2	1	2	2
GCA_024718935.1	1	1	1	1	0	1	1	2	0	2	2	1	2	1
GCA_024718915.1	1	1	2	2	2	1	2	2	0	2	2	1	2	1
GCA_024718815.1	1	1	2	2	2	1	1	2	1	2	2	2	2	2
GCA_024718715.1	1	1	2	2	2	1	1	2	1	2	2	1	2	2
GCA_024718585.1	1	1	2	2	0	1	1	2	0	2	2	2	2	2
GCA_024717345.1	1	1	2	2	0	1	1	2	0	2	2	2	2	2
GCA_024717315.1	1	1	2	2	2	1	1	2	0	2	2	1	2	2
GCA_024717285.1	1	1	2	2	2	1	1	2	0	2	2	1	2	2
GCA_024717115.1	1	1	2	0	2	1	1	1	0	2	2	1	2	2
GCA_024716815.1	1	1	2	0	2	1	1	1	0	2	2	1	2	2
GCA_029568485.1	1	1	1	1	1	1	2	1	1	0	1	1	1	1
GCA_030253475.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_029635965.2	1	1	1	1	0	1	2	1	1	2	2	1	2	2
GCA_030504675.1	1	1	1	1	1	2	1	1	1	0	2	1	2	1
GCA_030504695.1	1	1	1	1	1	2	1	1	1	0	2	1	2	1
GCA_032335095.2	1	1	1	1	1	1	2	1	1	2	2	1	2	2
GCA_037104425.1	1	1	1	1	1	2	1	1	1	0	2	1	0	1
GCA_037104415.1	1	1	1	1	1	2	1	1	1	0	2	1	0	1
GCA_037104505.1	1	1	1	1	1	2	1	1	1	0	2	1	0	1
GCA_037104435.1	1	1	1	1	1	2	1	1	1	0	2	1	0	1
GCA_048799215.1	1	2	2	0	2	2	2	2	2	1	2	2	2	2
GCA_048799145.1	1	2	2	0	2	2	2	2	2	1	2	2	2	2
GCA_023932685.1	0	0	1	1	2	2	2	2	2	2	2	2	2	2
GCA_023941225.1	0	1	1	0	2	2	2	2	2	2	2	2	2	2
GCA_023936745.1	0	0	0	0	2	2	2	2	2	2	2	2	2	2
GCA_023915865.1	0	0	0	0	2	2	2	2	2	2	2	2	2	2
GCA_023936365.1	0	1	1	1	2	2	2	2	2	2	1	2	0	2
GCA_023917625.1	0	1	1	1	2	2	2	2	2	2	0	2	0	2
GCA_023939225.1	0	1	1	1	2	2	2	2	2	2	0	2	1	2
GCA_023937385.1	0	1	0	0	2	2	2	2	2	2	2	2	2	2
GCA_023945225.1	0	1	1	1	2	2	2	2	2	2	2	2	2	2
GCA_023917045.1	0	0	0	0	2	2	2	2	2	2	2	2	2	2
GCA_023924425.1	0	0	1	1	2	2	2	2	2	2	2	2	2	2
GCA_000482025.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481985.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481965.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481945.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481925.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481905.1	0	1	2	0	0	0	0	1	2	0	2	2	2	2
GCA_000481865.1	0	1	2	0	0	0	0	1	2	0	2	2	2	2
GCA_000481845.1	0	0	2	0	0	0	0	0	2	1	2	2	2	2
GCA_000481825.1	0	1	2	1	0	0	0	1	2	0	2	2	2	2
GCA_000481805.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481765.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481725.1	0	1	2	0	0	0	0	1	2	0	2	2	2	2
GCA_000481705.1	0	1	2	0	0	0	1	1	2	0	2	2	2	2
