	amikacin	ceftazidime	ciprofloxacin	gentamicin	imipenem	meropenem	tetracycline	tobramycin	ceftriaxone	cefepime	levofloxacin	minocycline	ampicillin_sulbactam	doripenem	trimethoprim_sulfamethoxazole	piperacillin_tazobactam
GCA_016530355.2	1	1	1	1	0	0	1	0	1	2	1	2	1	0	1	2
GCA_016532425.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016530335.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016530275.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016530105.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016530005.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016610485.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016529755.2	1	1	1	1	0	2	1	1	1	2	1	2	1	0	1	2
GCA_016533145.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	0	2
GCA_016533125.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016532915.2	1	1	1	1	0	0	1	1	1	2	1	2	1	0	1	2
GCA_016532925.2	1	1	0	1	0	0	0	1	1	2	0	2	0	0	1	2
GCA_016532645.2	1	1	1	1	0	2	1	0	1	2	1	2	1	0	1	2
GCA_016532805.2	1	1	1	1	0	2	1	1	1	2	1	2	1	0	1	2
GCA_016528745.2	1	1	1	1	0	0	1	1	1	2	1	2	1	0	1	2
GCA_016528665.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016529645.2	1	1	1	1	0	2	1	1	1	2	1	2	1	2	1	2
GCA_016528415.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016528425.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016528365.2	1	1	1	1	0	0	1	1	1	2	1	2	0	2	1	2
GCA_016528055.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	0	2
GCA_016527715.2	1	1	1	1	1	1	1	1	1	2	1	2	0	2	1	2
GCA_016527165.2	1	1	1	1	0	2	1	0	1	2	1	2	1	2	1	2
GCA_016527345.2	1	1	0	1	0	1	0	1	1	2	0	2	0	0	1	2
GCA_016527275.2	1	1	1	1	0	2	1	1	1	2	1	2	1	2	1	2
GCA_016526535.2	1	1	1	1	0	2	1	1	1	2	1	2	1	2	1	2
GCA_016525695.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016525745.2	1	1	1	1	0	2	1	1	1	2	1	2	1	2	1	2
GCA_016525485.2	1	1	1	1	0	2	0	1	1	2	0	2	1	2	1	2
GCA_016525435.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016524675.2	1	1	1	1	0	2	1	1	1	2	1	2	1	2	1	2
GCA_016524685.2	1	1	1	1	0	2	1	0	1	2	1	2	1	2	1	2
GCA_016524235.2	1	1	1	1	0	0	1	1	1	2	1	2	1	0	1	2
GCA_016523555.2	1	1	1	1	0	2	0	1	1	2	0	2	1	0	1	2
GCA_016523355.2	1	1	1	1	0	0	1	1	1	2	1	2	1	0	1	2
GCA_016523045.2	1	1	1	1	0	0	1	1	1	2	1	2	0	2	1	2
GCA_016522915.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016522975.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016522415.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016522215.2	1	1	1	1	0	2	1	1	1	2	1	2	1	2	1	2
GCA_016522185.2	1	1	1	1	0	2	1	0	1	2	1	2	1	2	1	2
GCA_016521995.2	1	1	1	1	0	2	1	1	1	2	1	2	0	0	1	2
GCA_016521965.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016521895.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016521495.2	1	1	1	1	0	0	1	0	1	2	1	2	1	0	1	2
GCA_016521415.2	1	1	1	1	0	1	1	1	1	1	1	2	1	0	1	2
GCA_016521475.2	1	1	1	1	0	1	1	1	1	1	1	2	0	2	1	2
GCA_016521335.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016521185.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016521245.2	1	1	1	1	0	2	1	0	1	2	1	2	1	0	1	2
GCA_016521105.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	0	2
GCA_016521035.2	1	1	1	1	0	0	1	1	1	2	1	2	0	2	1	2
GCA_016521015.2	1	1	1	1	0	0	0	1	1	2	1	2	0	2	0	2
GCA_016520935.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016520995.2	1	1	1	1	0	2	1	1	1	2	1	2	1	0	1	2
GCA_016520875.2	1	1	1	1	0	2	1	1	1	2	1	2	1	0	1	2
GCA_016520815.2	1	0	1	1	0	2	1	1	1	2	1	2	0	0	1	2
GCA_016520775.2	1	1	1	1	0	2	1	1	1	2	1	2	1	2	1	2
GCA_016520595.2	1	1	1	1	0	2	1	0	1	2	1	2	1	2	1	2
GCA_016520445.2	1	1	1	1	0	2	1	1	1	2	1	2	1	0	1	2
GCA_016520135.2	1	1	1	1	0	2	1	1	1	2	1	2	1	2	1	2
GCA_016519765.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016519845.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016519675.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_008726135.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_002184365.1	1	0	1	1	1	1	2	2	2	1	2	0	1	1	2	1
GCA_002184565.1	1	1	1	1	1	1	2	2	2	1	2	1	0	1	2	1
GCA_002184325.1	1	1	1	1	1	1	2	2	2	1	2	0	1	1	2	1
GCA_002184265.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002184605.1	1	1	1	1	1	1	2	2	2	1	2	0	1	1	2	1
GCA_002137815.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002137795.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002136615.1	1	1	1	1	1	1	2	2	2	1	2	1	0	1	2	1
GCA_002137715.1	1	1	1	1	1	1	2	2	2	0	2	0	1	1	2	1
GCA_002137695.1	1	1	1	1	1	1	2	2	2	1	2	1	0	1	2	1
GCA_002137565.1	1	1	1	1	1	1	2	2	2	1	2	0	0	1	2	1
GCA_002137525.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002137495.1	1	1	1	1	1	1	2	2	2	1	2	0	0	1	2	1
GCA_002137445.1	1	1	1	1	1	1	2	2	2	1	2	0	1	1	2	1
GCA_002137425.1	1	1	1	1	1	1	2	2	2	1	2	0	1	1	2	1
GCA_002137995.1	1	1	1	1	1	1	2	2	2	1	2	0	0	1	2	1
GCA_002136745.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002136705.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002137045.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002137035.1	1	1	1	1	1	1	2	2	2	1	2	0	1	1	2	1
GCA_002136965.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002136935.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002136885.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002136855.1	1	1	1	1	0	0	2	2	2	1	2	0	0	1	2	0
GCA_002136825.1	1	1	1	1	0	0	2	2	2	1	2	1	0	0	2	1
